gmag  g-r   r-i   rh[pc]            
16.76  0.73  0.38  2.37         
16.60  0.56  0.27  2.73         
16.28  0.68  0.31  2.47         
17.04  0.58  0.31  2.18         
16.74  0.57  0.27  3.47         
17.39  0.76  0.35  1.68         
16.95  0.58  0.30  4.62         
17.93  0.64  0.26  4.30         
16.84  0.57  0.28  2.63         
18.09  0.58  0.27  2.97         
17.42  0.75  0.39  2.55         
17.01  0.72  0.37  _            
15.38  0.50  0.25  _            
17.25  0.56  0.26  3.30         
18.14  0.52  0.26  1.83         
16.99  0.62  0.30  3.88         
16.50  0.57  0.32  4.21         
16.61  0.73  0.39  2.74         
16.93  0.68  0.32  3.46         
16.09  0.79  0.43  1.92         
18.04  0.78  0.35  5.14         
17.44  0.56  0.26  _            
17.94  0.57  0.31  3.10         
16.56  0.75  0.38  _            
16.05  0.71  0.33  _            
17.71  0.62  0.26  2.06         
16.19  0.76  0.41  _            
16.29  0.75  0.37  _            
15.97  0.68  0.34  2.29         
17.32  0.55  0.27  _            
17.60  0.68  0.30  2.71         
17.30  0.71  0.32  4.54         
17.60  0.50  0.25  _            
16.76  0.63  0.29  2.19         
17.97  0.76  0.42  3.08         
17.65  0.53  0.27  3.68         
16.84  0.67  0.33  2.00         
17.10  0.52  0.26  3.39         
17.71  0.71  0.38  3.24         
16.70  0.75  0.35  _            
15.49  0.61  0.29  3.83         
16.52  0.76  0.40  2.42         
18.33  0.65  0.31  _            
18.62  0.74  0.37  4.06         
18.61  0.61  0.30  _            
17.34  0.60  0.29  4.77         
17.82  0.73  0.33  2.25         
18.38  0.56  0.29  3.45         
17.82  0.62  0.25  3.64         
18.37  0.67  0.37  _            
15.55  0.67  0.30  _            
17.95  0.55  0.26  _            
16.89  0.64  0.30  _            
18.04  0.61  0.26  3.41         
18.65  0.76  0.37  _            
19.06  0.62  0.41  3.31         
19.08  0.57  0.31  1.54         
15.87  0.54  0.22  _            
16.07  0.55  0.27  _            
17.26  0.61  0.30  4.34         
16.97  0.76  0.40  3.65         
