# ID RA DEC FCC Mem MType BTmag
FCC118 53.37978788783183 -34.45404501920833 118 1 dE0,N 17.6
FCC131 53.550380924605165 -35.22666217497191 131 2 dN? 20.3
FCC133 53.58369262659864 -35.36068244911081 133 1 dE0,N 17.5
FCC135 53.628116697240266 -34.29612259462557 135 1 dS0(5),N 15.5
FCC136 53.622527537199616 -35.54472488320988 136 1 dN? 14.8
FCC137 53.683446190594395 -35.85996621076114 137 1 dE0,N 16.9
FCC140 53.73480478373664 -35.189604303896964 140 1 dE4,N 19.0
FCC141 53.735265 -35.190913 141 2 dN 19.7
FCC142 53.74232630282473 -35.04102104475628 142 1 dE2,N 18.5
FCC146 53.79765108909794 -35.321518212307176 146 2 dE4,N 19.5
FCC150 53.850193 -36.363752 150 1 dN? 15.7
FCC151 53.85535033605377 -36.17730884442295 151 1 dE0,N? 18.0
FCC157 53.92792185879303 -35.512586047983596 157 1 dE0,N? 18.3
FCC158 53.94255453824205 -35.98820408900382 158 1 dE6,N 16.8
FCC160 54.016399197377396 -35.38737619340308 160 1 dE1,N 17.7
FCC165 54.0977015922451 -35.90992328747218 165 1 dN 17.5
FCC166 54.09922684469159 -37.16216535347013 166 2 dE3,N 18.1
FCC168 54.115584157869854 -35.20915268094624 168 1 dN 18.7
FCC171 54.1557156148131 -35.38459006858704 171 2 dE0,N? 17.9
FCC178 54.20209168017572 -34.27864965544069 178 1 dE3,N 17.2
FCC181 54.221141101552156 -34.936787063784344 181 1 dE2,N 17.2
FCC183 54.219800825319474 -36.48485412266992 183 1 dS0(7),N 17.2
FCC188 54.26876 -35.590182 188 1 dN 16.1
FCC189 54.283894833010756 -34.72980966113632 189 2 dE4,N 18.8
FCC191 54.291269307062 -35.38540124416267 191 2 dN 19.3
FCC192 54.29160626009878 -35.886796892618435 192 2 dN 19.6
FCC194 54.32434315512933 -35.69720156415569 194 2 dN 18.2
FCC196 54.39092364351465 -35.82774320385645 196 1 dN 17.7
FCC202 54.527266 -35.439882 202 1 dN 15.3
FCC203 54.53797204480733 -34.516920599257524 203 1 dE6,N 15.5
FCC204 54.55675109039721 -33.12531367562611 204 1 dS0(8),N 14.9
FCC205 54.529497809956474 -38.094149171332354 205 1 dE1,N? 16.9
FCC208 54.577750760709925 -35.529033085789436 208 1 dE2,N 17.3
FCC209 54.593237983108985 -33.65851889291896 209 2 dE5,N 18.7
FCC215 54.65623313533865 -35.755457032791995 215 2 dE,N? 19.2
FCC218 54.6886892815184 -35.264468998492866 218 1 dN 18.5
FCC221 54.773508368237515 -36.097314044875475 221 2 dE4,N 17.7
FCC222 54.805246 -35.371481 222 1 dN 15.6
FCC223 54.83107185714519 -35.7233714005337 223 1 dE0,N 16.2
FCC227 54.95869898539798 -35.52109784207739 227 1 dE0,N? 19.3
FCC229 54.97989838525335 -35.66090580691809 229 1 dN 19.1
FCC231 55.01867366924511 -34.16604366917918 231 1 dE0,N? 18.4
FCC232 55.03042363381055 -32.317737876739564 232 1 dE7,N 17.4
FCC234 55.04116931046792 -34.44502493901699 234 1 dE5,N 17.2
FCC236 55.040807979437396 -35.83476089437119 236 2 dN 19.2
FCC238 55.071428 -36.534886 238 2 dN 18.7
FCC241 55.09698582891924 -35.274422547925745 241 1 dE0,N 16.6
FCC243 55.1124 -36.499083 243 1 dN 16.5
FCC244 55.1274647978525 -35.87621714725922 244 2 dN 18.2
FCC245 55.140862 -35.022865 245 1 dN 16.0
FCC246 55.156339444986735 -36.11966814322205 246 1 dN 19.1
FCC252 55.209934 -35.74846 252 1 dN 16.0
FCC253 55.23002689728791 -37.83664817089491 253 1 dE5,N? 16.3
FCC254 55.25261939591682 -35.740602971337836 254 1 dE0,N 17.6
FCC259 55.28060335541682 -35.513489773838806 259 2 dN 17.8
FCC260 55.3027005902328 -35.15690727854932 260 1 dE0,N 17.0
FCC266 55.421939 -35.170375 266 1 dN 15.9
FCC274 55.571741 -35.540775 274 1 dN 16.5
FCC278 55.61303544347513 -33.869244289037596 278 2 dE6,N 16.8
FCC279 55.609417835818356 -36.685650064290655 279 1 dE0,N 16.7
FCC286 55.80230800081283 -34.641677799531394 286 1 dE0,N? 18.1
FCC288 55.84429430740478 -33.937394165317805 288 1 dS0(9),N 15.4
FCC292 55.97633151200792 -33.03985937591216 292 1 dE6,N? 17.1
FCC293 56.10439665628847 -35.8551278380602 293 1 dE1,N 17.6
FCC294 56.11304881035568 -35.66432716370068 294 1 dE1,N? 17.2
FCC296 56.13669247695876 -35.19441706294543 296 1 dE1,N 16.3
FCC298 56.18446728211204 -35.68211509541108 298 2 dE2,N 16.6
FCC300 56.249164837597434 -36.31793886200501 300 1 dE4,N 16.1
FCC303 56.308086329081654 -36.9354061202151 303 1 dE1,N 15.5
FCC311 56.57524045190239 -33.762005435238315 311 1 dS0(8),N 16.9
FCC314 56.655962859813414 -37.157927047145506 314 1 dE2,N 16.5
FCC316 56.75575410993851 -36.43610087578348 316 1 dE3,N 16.3
FCC318 56.7834774324661 -36.325378738964545 318 1 dE2,N 16.1
FCC319 56.81742873418757 -32.30074923772052 319 1 dE6,N 16.4
FCC320 56.893404163496 -32.253279496046346 320 2 dE5,N? 17.3
FCC339 58.012315180552456 -37.87347625747498 339 2 dE,N 17.5
