# ID RA DEC FCC Mem MType BTmag
FCC154 53.87666180321446 -35.24988237592002 154 1 dE3 19.2
FCC155 53.89091435062694 -34.80326684761086 155 1 dE2 18.3
FCC156 53.927712476592504 -35.33675002012892 156 1 dE1 17.2
FCC159 53.98143193054747 -34.826399726778426 159 1 d 18.1
FCC163 54.02825671721486 -35.841316498963344 163 1 dE0 19.8
FCC164 54.053605 -36.166272 164 1 d 16.4
FCC169 54.12961891893509 -34.8008701765806 169 1 dE2 17.2
FCC172 54.15244229088644 -37.36348791104135 172 2 dE4 20.4
FCC173 54.1790832778309 -34.15772457705831 173 1 "dE3 / ImV" 18.0
FCC174 54.18890171272385 -33.01219594164469 174 2 "dE1,N or E(cD)" 16.7
FCC175 54.17787678668928 -35.43412218358732 175 2 dE3 18.8
FCC180 54.20472659576487 -36.228125310640685 180 1 dS0 18.0
FCC185 54.261013856825464 -34.873887765718734 185 1 dE3 19.5
FCC186 54.24238995179889 -38.13301731491706 186 2 dE4 17.8
FCC187 54.26967001306257 -34.60169674778798 187 1 d 17.5
FCC195 54.34694779558232 -34.89867094537217 195 1 d 16.7
FCC197 54.420296745145926 -35.294797715158026 197 1 dE3 19.1
FCC198 54.42740268359512 -37.20734692840674 198 1 dE5 17.9
FCC200 54.477628491037336 -34.880575063957345 200 1 dE2 17.4
FCC201 54.4731108294455 -37.27836147120559 201 1 dE4 16.7
FCC206 54.55578627359468 -37.28841037294786 206 1 "dE0 pec" 15.8
FCC207 54.580167 -35.12905 207 1 d 15.9
FCC210 54.57952435829724 -36.06432374877546 210 1 dE0 18.7
FCC212 54.586976057996644 -36.411857069180165 212 1 dE1? 17.6
FCC214 54.65202814619932 -35.832385686678776 214 1 dE0 19.0
FCC216 54.66301299157552 -36.556603875262155 216 2 dE0 19.2
FCC217 54.67278527411102 -36.725533341269845 217 2 "dE / ImV" 19.7
FCC220 54.72919938440424 -35.2351846129075 220 1 dE2 19.5
FCC225 54.906699273184074 -36.552014013564296 225 2 dE4 19.6
FCC226 54.958767099731716 -35.02109264795853 226 1 dE? 17.8
FCC228 54.963640794014296 -35.320559711171505 228 1 dE0 18.8
FCC230 55.005457 -34.758155 230 1 d 17.2
FCC237 55.078695943090295 -33.420163309612285 237 1 dE3 17.8
FCC239 55.07709442353136 -37.498257505893385 239 2 dE5 18.9
FCC242 55.085742328138586 -37.64273804573884 242 1 dE5 17.8
FCC247 55.17576267045095 -35.65974033171673 247 1 "dE3 / Im?" 17.8
FCC248 55.18037640475971 -35.85948315330471 248 2 dE3 18.7
FCC250 55.184111575270705 -37.406737950565976 250 1 dE1 17.1
FCC251 55.20619341096711 -35.0220767180997 251 1 dE0 19.0
FCC256 55.26523839756432 -34.95314457151316 256 1 dE3 20.1
FCC257 55.26649823777892 -35.645935014545394 257 2 d 18.1
FCC258 55.27913047893615 -35.68876363028846 258 1 dE2 19.6
FCC261 55.33913106536194 -33.76787092291594 261 1 "dE3 pec,N / ImIV" 15.8
FCC262 55.33869110360629 -35.94705963624989 262 1 dE1 17.8
FCC264 55.381966 -35.589611 264 1 dS0 16.8
FCC265 55.42686256627973 -33.482940303490366 265 1 dE5 18.1
FCC268 55.45716913233365 -36.6286515847973 268 2 dE1 18.3
FCC269 55.488617959852085 -35.29070658418274 269 1 dE0 18.3
FCC270 55.4995026893042 -37.63272143498912 270 2 dE 19.7
FCC271 55.52536018092618 -34.84807081091586 271 1 dE1 18.7
FCC272 55.545509583732695 -35.442324636202876 272 1 dE 19.2
FCC273 55.56512073849849 -34.453503304565395 273 2 dE2 18.8
FCC275 55.578486544527294 -35.559402318385175 275 1 dE 19.3
FCC280 55.65343156569695 -35.95442902541559 280 1 dE1 18.6
FCC281 55.66062244379295 -35.86640127275599 281 1 dE1 17.9
FCC283 55.66364088210985 -38.228663311640794 283 2 dE2 17.8
FCC284 55.72825787962761 -35.341944161919145 284 2 dE1 19.0
FCC287 55.80579537090939 -35.517257091063335 287 2 dE0 18.0
FCC289 55.84608186721453 -34.693798480957724 289 1 dE0 18.7
FCC291 55.91491554491129 -35.214358462754596 291 2 dE5 19.4
FCC295 56.12432222987059 -35.17686704102271 295 2 dE0 18.9
FCC297 56.16308853227473 -35.98119903940981 297 1 dE1 17.8
FCC304 56.37788192886011 -34.503715542742576 304 1 dE1 18.8
FCC305 56.39032614044241 -37.081295557974975 305 1 "dS0  (6)" 15.7
FCC307 56.44858328607496 -35.059007479236726 307 1 dE3 17.7
FCC309 56.53376815274891 -36.821316974249925 309 1 dE2 17.5
FCC313 56.63881600993512 -34.6844953846997 313 1 dS0(9) 17.4
FCC317 56.78728108169274 -32.772576362988424 317 1 dE1 17.7
FCC321 56.89142528199883 -35.952757205565106 321 1 dE 18.8
FCC323 56.90592227385492 -36.3622654063171 323 1 "dE2 / ImV" 17.5
FCC324 56.96928480742518 -36.47030211009671 324 1 "dS0  (8)" 15.3
FCC325 57.00898620402519 -35.025168935062744 325 1 dE3 18.2
