#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       23.32       0.018       1.924       0.318
       21.99      0.0167       1.259           0
       24.98      0.0339       4.573       2.411
       22.79      0.0174       1.075      0.2552
       24.89      0.0319           -1           -1
       23.13      0.0171       2.857      0.2396
       24.98      0.0374       2.515       2.814
       24.54      0.0267       3.238      0.7225
        22.2      0.0156       3.738           0
       21.95      0.0179       1.017           0
        25.3      0.0425        1.97       1.443
       23.52      0.0204       1.611      0.2342
       25.77      0.0574           0           0
       25.28      0.0411        1.22       12.13
       23.85      0.0205       3.467      0.6368
       22.46       0.016       3.322           0
       22.97      0.0168           -1           -1
       21.53      0.0218     0.09134      0.8379
       23.01      0.0177       1.907      0.1942
       23.26      0.0184      0.9464      0.2823
       23.22      0.0216      0.3728       4.469
       22.14      0.0159       3.509      0.1464
       23.34      0.0205       1.559      0.2683
       24.75      0.0301       2.845      0.7063
       22.24      0.0182       2.895           0
       24.05      0.0219       2.023      0.4078
       25.37      0.0429       1.542       1.084
       25.58      0.0505       6.093       2.633
       25.77      0.0567       18.15       96.48
       22.12      0.0174       3.308           0
          24      0.0213        1.74      0.5524
       22.16      0.0175       2.174           0
       22.97      0.0187       3.231      0.2778
       20.48      0.0241      0.4594      0.2111
       24.94      0.0348       2.742       1.791
       24.62      0.0292        1.97      0.7189
       23.87      0.0204       8.123        3.95
       23.31      0.0178       5.512      0.7937
       20.94      0.0224      0.5067      0.2484
       25.55      0.0474           0           0
       22.52      0.0163       4.695      0.4046
        25.5      0.0473       113.1        1932
       21.75      0.0171           0           0
       24.99      0.0329           -1           -1
       24.78      0.0316         1.4      0.7172
       22.54      0.0173       1.512           0
        25.3      0.0475       4.872       2.612
       21.18      0.0161       1.919           0
       24.67      0.0324           -1           -1
       22.68       0.017       1.844       0.245
       21.52      0.0214           0      0.5782
        23.3      0.0197       2.957           0
       23.18      0.0195       2.132      0.2808
       23.49      0.0196      0.4634      0.3043
       23.81      0.0212       4.727        2.36
       23.67      0.0204       2.384      0.3645
       25.47      0.0469       1.935        1.32
       24.44      0.0258       2.824      0.7314
       23.28      0.0182       1.829      0.3153
       25.03      0.0363       2.418       1.075
       23.42      0.0199       2.032      0.2635
       23.18      0.0189       3.216      0.4313
       25.42      0.0456           0           0
       23.79       0.021       2.769       0.508
       24.26      0.0249       2.748      0.5302
       25.98      0.0669           -1           -1
       24.29      0.0239       4.178      0.7154
       25.92      0.0651           -1           -1
       25.64      0.0519       20.31       22.58
       23.98      0.0213       2.372      0.4362
       25.44      0.0455        4.72       1.768
        21.6      0.0167           -1           -1
        22.4       0.017       1.826           0
       25.12      0.0395           -1           -1
       22.35      0.0202       1.915      0.1682
       23.89      0.0227       2.425      0.4263
       22.08      0.0153        5.23           0
       23.88      0.0222       1.996      0.4969
        25.6      0.0506       5.868       2.694
       22.86      0.0166       3.073      0.2342
       24.84       0.033           0           0
       18.95      0.1076           0           0
       25.99      0.0699           0           0
       24.57      0.0309           0        6.58
       21.91      0.0176      0.1251           0
       24.23      0.0238       1.804           0
       24.14      0.0227        43.6       68.48
       22.75      0.0164       3.178           0
       24.26      0.0246       1.689      0.5037
       22.33      0.0159       3.226           0
       20.04      0.0241           0      0.1276
       23.91      0.0217        2.36      0.4362
       24.53      0.0344       2.165      0.8193
       22.73      0.0206      0.3996       1.014
       23.13       0.018         1.3      0.2414
       20.64       0.028           -1           -1
       23.33      0.0188       1.507      0.6307
       25.21      0.0386        7.92       11.29
       23.65      0.0203        1.45      0.3351
       24.15       0.024       2.034      0.4362
        22.7      0.0224      0.2116      0.7349
       23.43      0.0198       1.287      0.3726
       21.91      0.0241           -1           -1
       24.19      0.0237       2.492       1.228
       23.86      0.0209       3.464      0.4333
       22.87      0.0173       1.503      0.2854
       25.86      0.0602           0           0
       24.36      0.0253       1.267      0.7002
       24.79      0.0327       2.132      0.8636
       23.89      0.0215       1.494      0.4141
       22.93      0.0179       2.904      0.2928
       20.89      0.0167       1.237           0
       22.88      0.0198       1.497      0.2268
        23.2      0.0186       1.252      0.3112
       22.21      0.0163       2.125           0
       22.86      0.0593           -1           -1
       24.36      0.0259       2.561      0.7255
       24.42      0.0265       2.919       0.791
       25.71      0.0567       5.509       2.704
       24.03      0.0221       2.906      0.4703
       25.89      0.0652       8.706        4.53
       24.91      0.0326       2.043        0.89
       24.58      0.0275       2.333       0.805
       22.35       0.017       1.221           0
       24.06      0.0233       1.915      0.5524
       24.21      0.0248       3.101      0.7718
       22.48      0.0205       3.225      0.2414
       23.61        0.02       1.191      0.3669
       23.09      0.0179       1.163      0.3153
       23.08       0.019      0.2576      0.2839
       23.47      0.0186       3.039      0.4273
       24.28      0.0252       1.184      0.5752
       23.89      0.0213       1.545      0.3657
       23.48      0.0193       1.698      0.5391
       22.81      0.0176       1.627      0.1852
       22.31      0.0164       2.234           0
       21.47      0.0154       2.271           0
          24      0.0227       1.542       0.444
       22.94      0.0177       1.111      0.2747
       24.01      0.0219       1.227      0.4536
        25.9      0.0669           -1           -1
       24.35      0.0251       2.888      0.6689
       22.06      0.0165       2.068           0
       25.42      0.0463       2.204       1.301
       23.34      0.0205       1.117      0.2586
       25.33      0.0425       3.143       1.392
       24.82      0.0303       2.197      0.8546
       24.35      0.0286           -1           -1
       25.05      0.0376        2.21       1.006
       22.75      0.0169       2.451      0.2536
       21.91      0.0148       3.011      0.1493
          25      0.0352       11.98       59.14
       22.99      0.0178       1.069      0.2502
       25.47      0.0462        1.92       2.253
       24.67       0.029       2.026       0.805
        24.1      0.0235       1.184      0.4684
       24.48      0.0278      0.9685      0.6835
       21.69      0.0165      0.5292           0
       24.49      0.0264       2.928       2.316
       22.42       0.016       3.869           0
       25.01      0.0356        2.28      0.9639
       22.32      0.0177      0.2204           0
       21.79      0.0155       2.715           0
       23.53      0.0206       1.447      0.3414
       25.21      0.0392       2.613       1.054
       25.87      0.0649           -1           -1
       25.51      0.0504      0.5133       1.685
       24.17      0.0239        1.99           0
       23.19      0.0187       1.203       0.318
       20.91      0.0209      0.1414      0.1656
       22.32      0.0164           -1           -1
       22.61      0.0168       1.686      0.2467
       24.42      0.0269       2.776      0.5914
       23.04      0.0196       1.584      0.3207
       23.45      0.0201       3.204      0.3726
       23.76      0.0222       2.206      0.3598
       22.71      0.0205       2.616       0.221
       25.27      0.0426      0.5197       7.712
       25.99      0.0706           -1           -1
       24.12      0.0243       1.787      0.4545
       23.95      0.0245       1.542      0.4243
       25.91      0.0643       5.901       4.556
       22.86      0.0186       2.281      0.2569
        24.3       0.026       1.023      0.5928
       22.98       0.018       2.758      0.2379
       24.03      0.0237       2.312      0.3513
       23.94      0.0231       2.215      0.3784
       23.42      0.0216       2.743       0.236
       25.28      0.0414       5.748       2.898
       22.34      0.0168       3.616           0
       23.43      0.0321           0      0.2869
       22.25      0.0178        3.36           0
       22.05      0.0184       0.871           0
       22.24       0.019       1.354           0
       23.89      0.0237       2.038      0.4161
       24.48      0.0271       3.223       1.153
