#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       25.01      0.0365       1.737       1.011
       24.05      0.0218       4.203      0.6461
       22.45      0.0184      0.8935      0.1577
       24.36      0.0268       1.132      0.5509
       25.05      0.0394       0.522       8.451
       25.49      0.0494       3.949       2.793
       24.39      0.0264       2.383      0.6866
       25.23      0.0392           -1           -1
       22.68      0.0183           -1           -1
       25.31      0.0436       1.375       1.093
        22.9       0.018     0.08671      0.2928
       24.89      0.0336       2.189      0.9203
       24.17      0.0271       1.661      0.6155
       24.47      0.0322           -1           -1
       23.57      0.0211      0.4052      0.3098
       24.35      0.0261      0.8974      0.5899
          23      0.0182       1.263      0.2519
       24.51      0.0295           -1           -1
       25.75      0.0632       3.391       4.375
        24.8      0.0323      0.1558      0.6347
        21.2      0.0264       3.715           0
       24.35      0.0266        1.74      0.6388
       23.39      0.0195       1.291      0.2731
       22.35      0.0174           -1           -1
       23.93      0.0214       2.502      0.4352
       24.03      0.0224        2.21      0.4479
       22.91      0.0176       2.545      0.1604
       25.16      0.0406       2.491       1.111
       25.53      0.0534        1.41         3.1
       22.72      0.0182      0.8767           0
       24.51      0.0277       2.165      0.6573
       25.12      0.0383      0.2245       1.082
       22.64      0.0193       1.246           0
       24.51      0.0287       1.005      0.7027
       23.43      0.0201       1.131      0.3427
       21.26      0.0171           -1           -1
       24.47      0.0268       1.968       1.764
       23.72      0.0219      0.2089      0.4067
       24.69      0.0312       1.773      0.8725
       24.24       0.026      0.4546      0.5071
       22.97       0.019           -1           -1
       25.12      0.0403           0       10.82
       25.17        0.04         1.8       1.113
        24.5       0.027       2.273       1.527
       23.12      0.0186        1.74      0.3906
       22.83      0.0181       2.351      0.2942
       25.95      0.0672       31.14       31.37
       23.74      0.0214     0.02326      0.3234
       23.54      0.0196       1.571      0.4014
       25.18      0.0399       10.95       17.34
        23.8      0.0255           -1           -1
       24.27      0.0254           0      0.4811
       24.83      0.0324        2.18      0.8409
       24.46      0.0278       1.027         0.6
       24.75      0.0341           -1           -1
       22.94      0.0169       3.621      0.2778
       21.92      0.0203           -1           -1
       22.95      0.0195           -1           -1
       25.49      0.0465        1.87       2.889
       22.31      0.0174      0.9133           0
       23.24      0.0195       1.356      0.2913
       23.79      0.0209       1.552      0.3338
       21.05      0.0158       2.833           0
        22.2      0.0166       2.181           0
       24.27      0.0264      0.6562         0.6
       22.97      0.0204       1.971      0.3207
       22.85      0.0185       1.703       0.318
       25.15      0.0396       1.642       0.971
       24.37       0.025       2.879      0.6715
       23.21      0.0176       4.193      0.4917
       24.25      0.0246       2.084      0.8813
       25.08      0.0392           0       1.109
       23.52      0.0198       2.591      0.3126
       24.48      0.0289      0.3411      0.6702
       22.27      0.0192       1.835      0.2305
       24.92      0.0337       3.137       1.428
       23.22      0.0204           -1           -1
        23.2      0.0186       4.352           0
       25.53      0.0475           0           0
       24.54       0.029       1.161      0.6494
       21.69      0.0159       3.695           0
       22.37      0.0161       4.631           0
       25.93      0.0646           -1           -1
       22.37      0.0182       1.357      0.1897
       24.38      0.0335       1.055       1.027
       24.07      0.0232       2.838      0.5096
          25      0.0488           -1           -1
       23.82      0.0224       2.803      0.3817
       23.45      0.0225       1.944       0.318
       23.91      0.0217       1.736      0.4498
       23.97      0.0238           0       0.489
       22.59      0.0171       3.274           0
       25.46      0.0474           -1           -1
       24.94      0.0383       1.637      0.9868
       23.94      0.0221       1.611      0.4421
       25.91      0.0647       1.888       2.483
       24.03      0.0347     0.02894      0.6527
       23.54      0.0249           0       3.482
       23.17       0.025           -1           -1
       24.27      0.0243           -1           -1
       25.41      0.0478           -1           -1
       23.93      0.0221       1.833      0.4036
       23.23      0.0193       1.363      0.2287
        23.3      0.0195           -1           -1
       25.21      0.0413           -1           -1
       23.65      0.0208       1.882      0.4088
        23.2       0.018        2.83      0.5088
       23.59      0.0244           -1           -1
       25.98      0.0649       6.844       3.488
       22.42      0.0191      0.9133           0
       25.06      0.0368        2.06      0.9989
       25.81      0.0598           -1           -1
       22.99      0.0185       3.895      0.5979
       21.99      0.0522        1.49       1.593
        22.2      0.0167       2.076           0
       22.68      0.0207       2.782      0.2396
       24.45      0.0268           0      0.5446
       24.48      0.0274       1.998      0.6106
       21.78      0.0164       2.483           0
       25.66      0.0543       2.207       1.935
        24.2      0.0264      0.9007      0.4811
       22.23      0.0466      0.5712      0.3207
       23.29      0.0229      0.3709       2.772
       24.85      0.0318           -1           -1
       24.29      0.0248       1.917      0.7002
       24.26      0.0253       1.473      0.5351
       25.19      0.0404         3.6        1.44
       25.54      0.0507       3.581        1.65
       23.22      0.0195       1.514      0.2484
       23.95      0.0217       1.753      0.3464
       20.28      0.0234     0.07634      0.6252
       24.23      0.0236       2.635      0.5286
       21.76       0.024           0      0.7707
       25.49      0.0458           -1           -1
       20.77      0.0225           -1           -1
       23.56      0.0199        2.39       0.502
       20.19      0.0244           0      0.1875
       24.49      0.0256        2.58      0.8842
       24.68      0.0293        1.16      0.7349
       24.39      0.0256           -1           -1
          24      0.0231       1.514      0.4775
       24.74      0.0379           -1           -1
       25.77      0.0599           0       10.95
       22.36      0.0289           0       0.384
       24.06      0.0226       1.856      0.4161
       24.83      0.0315       1.776      0.7544
       21.68      0.0047      0.9431      0.2869
       24.76      0.0276      0.9927      0.7436
       21.59       0.013      0.5216           0
       24.58      0.0248      0.9976       1.145
       25.55      0.0478       1.738       1.541
       23.95      0.0179       3.109      0.5767
       22.99      0.0154       1.886         0.3
       24.13      0.0194       2.365      0.5885
       24.79      0.0285       1.069      0.8297
       25.25      0.0396           0       1.628
       24.01      0.0187           -1           -1
        24.9       0.031           -1           -1
       24.35      0.0223     0.03799        1123
       24.24      0.0232      0.3949       5.368
        24.5      0.0235       3.263      0.8034
       23.24      0.0149       1.461      0.3014
       25.04      0.0338       2.284       1.023
       22.18      0.0127        1.08           0
        23.5       0.016       3.226      0.4273
       25.59      0.0501       2.843       1.501
       23.06      0.0144       1.139      0.2519
       24.76      0.0294       1.206      0.8281
          24      0.0186       2.255           0
          23      0.0149      0.8593      0.2091
       23.55      0.0158       2.092      0.3194
       25.64      0.0522       4.063       1.927
       25.24      0.0404      0.4689       11.07
       23.87       0.018       4.372       1.207
       24.18      0.0198       2.013       1.189
       24.07       0.019      0.7536      0.5046
       23.08       0.014       2.811      0.3621
       22.79      0.0144       1.327      0.2602
       25.85      0.0619       4.548       3.413
       23.68      0.0165       1.803      0.5088
       23.53      0.0168       2.682      0.3715
       20.65       0.011       4.016           0
       24.52      0.0269        1.15      0.6279
       21.41      0.0117       3.434           0
        21.9      0.0158      0.7462           0
       24.88      0.0335           -1           -1
       23.69      0.0169       2.418      0.4648
       25.02      0.0344       2.284      0.9907
       25.32      0.0414           -1           -1
       25.23      0.0411       2.663       1.232
       24.45      0.0236       2.289      0.6354
       22.62      0.0135       1.897      0.2432
       20.56       0.012       2.525           0
       25.28      0.0389       4.664       3.104
       20.53      0.0172           0           0
       22.76      0.0136      0.1156      0.2552
        22.9      0.0155      0.7742      0.2007
       23.26       0.016       2.002      0.3273
       23.81      0.0174       1.954      0.3402
       25.58      0.0493      0.1987       1.545
       25.46      0.0445       1.535       1.604
       25.41      0.0435           0           0
       25.42      0.0445    0.005051       1.453
       24.91      0.0313       2.123      0.9268
          25      0.0344       1.857       1.187
       22.72      0.0144           -1           -1
       23.59      0.0174       1.967      0.2869
       23.98      0.0204           -1           -1
       25.88      0.0637           -1           -1
       24.16      0.0213      0.1837      0.4811
       23.41      0.0154       2.072      0.3153
       22.71      0.0134       1.252           0
          24      0.0201       1.399      0.5986
       22.57      0.0159     0.06671           0
       22.84      0.0137       3.459       0.221
       23.45      0.0164       1.215      0.2667
       23.16      0.0152       1.054      0.2986
       25.31      0.0412       4.037         2.4
       23.21      0.0141       3.066      0.3286
       24.41       0.023       2.646      0.6534
       23.52      0.0157        1.87      0.3071
       23.45      0.0166       1.927      0.4263
       23.28      0.0157       1.093      0.2432
       23.32      0.0156        1.18      0.2683
       21.65      0.0116       3.228           0
       22.21      0.0162           0      0.7464
       22.87      0.0138       1.583      0.2091
        22.9      0.0138           -1           -1
        25.4      0.0447           0           0
       22.65      0.0135       1.675      0.2249
       24.23      0.0219      0.9246      0.5294
       23.43      0.0169       2.382      0.4333
       21.92      0.0196           0      0.1464
       24.48      0.0253           0      0.8203
       23.61      0.0169       2.107      0.3098
       21.83       0.012       2.267           0
       22.56      0.0145      0.4767      0.1805
       23.66       0.024           0       1.004
       22.95       0.014       3.392         0.3
       23.21      0.0187      0.5297      0.3633
       22.77      0.0137      0.9858           0
       23.38      0.0152       2.253      0.3312
       24.05      0.0209       2.143      0.6829
       24.25      0.0223           0           0
       25.09      0.0355       2.274      0.9728
       23.78       0.018       1.367      0.4638
       22.78      0.0146      0.4528      0.1875
       24.58      0.0264      0.9364      0.6747
       23.36      0.0156      0.3385      0.3014
       22.68      0.0133       3.035       0.355
       21.36      0.0116       4.281           0
       24.09      0.0201       2.748       1.047
        22.4      0.0144      0.4634           0
       22.66      0.0137        1.08           0
       21.23      0.0125       2.656           0
       24.59      0.0277      0.8175      0.6361
       24.95      0.0331       1.897      0.9405
        25.3      0.0435           0           0
       24.41      0.0231       2.338      0.6791
       22.51      0.0144      0.9071      0.1707
       24.83      0.0306       2.397      0.9351
       23.56      0.0168       1.298      0.2569
       22.92      0.0147       1.893      0.7027
        24.8      0.0311           -1           -1
       23.53      0.0168       0.814      0.2793
       23.95      0.0195       2.651      0.5485
       23.24      0.0154       2.252      0.3439
       22.01      0.0131           0           0
       24.82      0.0314           -1           -1
       22.91      0.0134       2.896      0.3669
       22.74      0.0133       2.272       0.163
       23.36      0.0159      0.6217      0.2586
       25.47      0.0483       2.456       6.129
       22.31      0.0149      0.6022      0.1604
       25.49      0.0519           -1           -1
       23.63      0.0169       1.489      0.4592
        23.3      0.0151       1.281      0.2586
       25.58      0.0524       1.653       1.645
       22.65      0.0135       1.822      0.2268
       23.99      0.0207           0      0.4899
       23.81      0.0188      0.9986      0.5172
       24.58      0.0261       1.783      0.7867
       25.14      0.0375       1.619       1.281
       22.73       0.014       1.226      0.2379
       23.11      0.0161        1.29      0.2191
       25.43      0.0527        2.01       2.247
       22.71      0.0145           0      0.2049
       25.57      0.0519           0           0
       23.87      0.0193      0.6386      0.4057
       24.93      0.0354       1.504       1.309
       25.68      0.0629           -1           -1
       21.58      0.0121       2.032           0
       22.46      0.0142      0.1298      0.1757
       23.88      0.0194      0.5463      0.4382
       23.61      0.0173       1.546      0.4721
       24.47      0.0249       1.358      0.6252
       24.77      0.0298      0.8668      0.8435
       22.28      0.0131       1.237           0
        22.9      0.0139       3.407       0.318
       25.22      0.0398       2.243       1.389
       23.57       0.017      0.4341      0.3286
       21.71      0.0139           0           0
       23.59      0.0178      0.7353      0.4263
          24      0.0202       1.983      0.4611
       24.73      0.0285        3.03      0.9781
       23.26      0.0163       1.523      0.2305
       25.77      0.0652           -1           -1
       22.21      0.0141      0.7824      0.1875
       24.42      0.0245       0.895      0.6816
       23.33      0.0168       2.075      0.3167
       24.39      0.0256       2.134      0.9911
       24.74      0.0306       3.647       5.286
       23.65      0.0179        1.61      0.3452
       24.81      0.0329       2.215       1.225
       23.48       0.016       1.594      0.2884
       22.93      0.0155       1.267      0.3043
       24.92      0.0399           -1           -1
       21.41      0.0128       1.292           0
       24.61       0.029           4       2.418
       23.96      0.0199      0.3411      0.4303
       23.95      0.0195       1.391      0.5737
        25.6      0.0546           -1           -1
       25.17      0.0443       3.905       1.757
        22.8      0.0145       1.463      0.2884
       21.49      0.0128      0.4922           0
       23.81      0.0183       1.804      0.8646
       22.08       0.014       1.897      0.1942
       24.22      0.0215       1.824      0.6816
       23.23       0.017        1.31      0.3057
       23.31      0.0159       1.102      0.2324
       24.76      0.0312      0.8991      0.9662
       19.01      0.0867           -1           -1
       22.96       0.014       1.382      0.2396
       25.23      0.0403       2.467       1.406
       23.46      0.0165       2.308      0.4333
        22.6      0.0136      0.9762      0.2342
        22.7      0.0142      0.8713       3.469
       24.24       0.023       1.822       0.656
       22.97      0.0141           -1           -1
       24.12      0.0216       1.384      0.5155
        23.7      0.0178       1.772      0.4004
       23.42      0.0167      0.3845      0.2986
       24.21      0.0241           0           0
       22.27      0.0133       0.248      0.1852
       23.21      0.0157     0.08183      0.3299
       21.52       0.014       2.286           0
       20.98      0.0128      0.9021           0
       23.43      0.0182           0       0.318
        25.2       0.041           0       1.699
       23.11      0.0616       1.479      0.3884
       24.61      0.0291       4.672       1.651
       22.99      0.0144       1.234      0.2342
       25.25      0.0429       1.818       1.314
       24.83      0.0359           0    1.23e+10
       23.06      0.0155        2.05       0.245
       23.41      0.0193           0      0.2569
       22.68       0.014       1.754      0.2305
       23.01      0.0155       1.205      0.2028
       24.72      0.0301           0       16.64
       24.74      0.0303       2.857      0.8967
       24.74      0.0296           -1           -1
       22.53      0.0137       1.374      0.1964
       23.61       0.018       0.373      0.4212
       23.69      0.0177       1.344      0.3657
       22.25      0.0172       0.283      0.1986
       24.64      0.0313       3.884       5.294
       23.52      0.0193           0       1.366
       24.85      0.0321        2.16       1.177
       20.84      0.0197       0.277      0.1373
       24.16      0.0228       1.768      0.6252
       24.59       0.029       2.607      0.8665
        23.9      0.0196       0.754      0.3526
       22.93      0.0147       2.508      0.2552
       22.25      0.0134       1.274      0.3153
        23.8      0.0208      0.3269       0.473
       24.97       0.039       2.472       1.527
       25.67      0.0597       1.958       2.405
        22.6      0.0142       1.296      0.2007
       23.54      0.0189     0.05517       0.473
       23.51      0.0181      0.9025      0.3513
       25.25      0.0514           0       4.677
       24.53      0.0263      0.6397      0.6388
       24.72      0.0318       1.015       0.844
       24.18      0.0219       1.353      0.4757
       22.62      0.0137       1.085      0.2484
       23.31      0.0186     0.05958       277.8
       22.01      0.0132       1.225           0
       24.96      0.0365       1.266       1.445
       24.12      0.0249       1.937       1.123
       24.47      0.0265        1.32      0.9043
       24.43      0.0268       1.105      0.7075
       23.98      0.0226       2.116      0.6085
       23.55      0.0168           -1           -1
       23.05      0.0155       1.408       0.236
       23.78      0.0191        2.59      0.5196
       23.57      0.0188       0.938      0.4846
       24.16      0.0236       1.611      0.6651
       23.29      0.0177           0       0.412
       24.18      0.0248       4.034       1.295
       23.44      0.0166       2.453      0.3439
       22.14      0.0132      0.7388           0
       23.64      0.0216       2.285      0.7544
       22.82      0.0156           0      0.3993
       23.31      0.0164       1.255      0.3477
       25.77      0.0666       2.016       3.831
       23.72      0.0193           0           0
       22.87      0.0147       1.931           0
       22.63      0.0139       3.323      0.4431
       23.92      0.0206           -1           -1
       21.78      0.0137           0           0
       24.42      0.0278           0           0
       24.01      0.0228       1.184      0.5105
       24.96      0.0381       1.932       1.173
        23.5      0.0186           0       811.6
       22.09      0.0126       2.726      0.2268
       24.57      0.0341           0       1.197
       24.04       0.022       2.285      0.6368
       24.74      0.0381       1.179       1.269
        25.1      0.0417        1.16       1.282
       23.21      0.0162       1.323      0.3862
       22.63       0.013       1.466      0.2191
       24.37      0.0289           0           0
       22.44      0.0135       2.042      0.2586
       25.13        0.05       1.761       1.906
       23.43      0.0189       1.101      0.4099
       24.74      0.0368           -1           -1
       23.11      0.0158       1.032      0.2619
       22.25      0.0157           0      0.1757
        23.7      0.0203       2.093      0.4882
       22.14      0.0145           0           0
       25.14      0.0406       1.177       1.299
       24.49      0.0291       1.706      0.8646
       24.51      0.0262      0.2576       0.826
       24.73      0.0306      0.4403      0.7384
       22.65      0.0147         1.2      0.2324
       23.21      0.0204           -1           -1
       21.64       0.013      0.8931           0
       24.88      0.0397       1.382        1.43
       24.96      0.0436       1.266       1.434
       19.59      0.0406      0.1533           0
       24.24      0.0228           -1           -1
       24.39       0.032       1.279      0.8586
       24.73      0.0316       2.699       1.224
       22.22      0.0142       1.467           0
       23.11       0.017      0.1517           0
       22.26      0.0136           -1           -1
       25.64      0.0592       1.523       2.127
       23.03      0.0173       1.626      0.2287
       23.29      0.0158       1.835      0.3057
       23.66      0.0173       1.059      0.3247
       24.77      0.0389        1.27       1.897
       23.02      0.0147       1.236      0.2778
       23.92      0.0211           -1           -1
       23.31      0.0188       1.344      0.3993
       21.64      0.0122        2.95           0
       23.12       0.016       1.239      0.6141
       22.65      0.0139       1.414      0.2536
       22.78      0.0143       2.236      0.2651
       22.78      0.0151       1.215           0
       24.37      0.0271      0.9151       3.303
       22.13      0.0126       3.469      0.1828
       23.88      0.0203      0.7577      0.4757
       24.67      0.0285        2.64       1.057
       24.45      0.0257           -1           -1
       25.82      0.0795       6.213       6.372
       25.42      0.0496       1.191       1.447
       24.13      0.0262           -1           -1
       23.93      0.0201       3.149      0.6307
        25.4      0.0494       2.186        1.59
        23.4      0.0188       1.321      0.3273
       23.35      0.0152       3.226         0.3
       23.82      0.0243      0.5581      0.7278
       22.89      0.0185           0      0.3098
       21.82      0.0122       3.761           0
       23.37      0.0167       1.455      0.4401
       24.16      0.0293      0.7968      0.6708
       24.69      0.0391       2.908       1.299
       24.38      0.0276        1.14      0.7921
       22.97      0.0177     0.08788           0
       23.98      0.0279           -1           -1
       24.98       0.035       2.016       1.121
       24.39      0.0248      0.6516      0.5848
       23.48      0.0178           -1           -1
       25.29      0.0443       1.786       1.351
       24.49      0.0354      0.6527      0.9582
       22.85      0.0156           -1           -1
       24.22      0.0275           -1           -1
       23.14      0.0155       1.545      0.4223
       24.63      0.0396       1.218        1.32
       23.62      0.0205       1.188      0.4078
        23.5      0.0223      0.8632       0.527
       24.77      0.0304       1.912      0.8905
       23.39      0.0193           0      0.3098
       24.79      0.0425       1.526       2.464
       22.44      0.0147      0.9464      0.2635
       22.45      0.0214       1.687      0.2586
       23.63      0.0189      0.4169      0.4036
       23.79      0.0197      0.7577      0.4343
       23.31      0.0159       1.867      0.2808
       24.45      0.0331           0           0
       24.58      0.0407           0       11.08
       24.14      0.0304       2.379      0.9364
       23.74      0.0212      0.8757      0.5046
       23.34      0.0191       1.091       0.384
       22.94      0.0175           0       0.412
       23.39      0.0163       2.152      0.3829
       23.22      0.0191       1.218      0.3464
       25.15      0.0469       4.002       3.484
       23.61      0.0214      0.5565      0.4969
       22.96      0.0145       2.118      0.3645
       22.92      0.0161       2.869       0.223
       24.33      0.0337           -1           -1
        23.4      0.0207           -1           -1
        22.6      0.0156       1.997      0.3167
          23      0.0157       2.704      0.2699
       23.26       0.017           -1           -1
        24.2      0.0246      0.7414      0.5319
       24.77      0.0469      0.7515       1.322
       23.26      0.0149           -1           -1
       25.14      0.0651           -1           -1
       24.91      0.0523      0.4767       2.151
       23.67      0.0206           0      0.4382
       22.29       0.016       1.281       0.192
       23.85      0.0271       1.786      0.7768
        21.8      0.0175           -1           -1
       23.94      0.0229           -1           -1
       24.17      0.0218       1.403      0.6388
       23.69      0.0193        1.96      0.4057
       24.73      0.0312           -1           -1
       24.05      0.0296      0.6804      0.8685
       23.86      0.0196       2.281      0.4666
       24.52      0.0405     0.06219        1.08
       22.75      0.0145       1.601      0.3273
       23.39      0.0216           0      0.5462
       25.26      0.0426        1.79       1.433
       24.34      0.0331       1.027       1.052
       23.93      0.0237       0.998       0.567
       21.38      0.0127       0.686           0
       23.04      0.0178      0.4765       0.361
       25.24      0.0457           0           0
       22.94       0.015       1.125      0.3098
       21.27      0.0129       3.545      0.1207
       22.81      0.0158      0.5694      0.2414
       24.72      0.0426           -1           -1
       24.08      0.0302       2.213      0.8425
        25.6      0.0536       2.638       3.374
       23.07      0.0195       1.369      0.4088
       22.01      0.0144       1.028           0
       25.97      0.0757           0           0
       22.93      0.0155           -1           -1
       23.73      0.0254        3.16      0.7267
       21.14      0.0111        3.68           0
       24.48      0.0267       2.443       0.779
       23.87      0.0289       1.446      0.6928
       23.07      0.0248       2.548      0.3795
       22.56      0.0168       1.264      0.2432
       23.94      0.0232           -1           -1
       18.07       0.052           -1           -1
       23.97        0.02       1.813      0.5054
       24.06      0.0324           0       1.076
       22.97      0.0165           0      0.2305
       23.63      0.0217       2.736      0.6085
       25.32      0.0551       1.965       1.443
       23.13        0.02      0.7708      0.3928
       22.77      0.0144        1.19      0.2324
       24.27      0.0322           -1           -1
       24.19      0.0256       1.131      0.6064
       23.35      0.0176       2.103      0.7069
       21.11      0.0131       2.456      0.1707
       23.77      0.0233       1.642       0.502
       24.66      0.0277       1.525      0.9043
       23.65      0.0171       1.494      0.3862
        22.9      0.0207       1.532      0.4303
       22.61      0.0142      0.8286           0
       21.12      0.0118       4.833           0
       24.41      0.0332        1.29      0.9622
       23.26      0.0231       1.544       0.444
       22.33      0.0138       1.318           0
       22.22      0.0157           0   4.917e+07
       25.83      0.0726           -1           -1
       24.48      0.0259           0    6.59e+09
       23.73      0.0199       2.571      0.6388
       21.63      0.0135      0.8218      0.1521
       21.64      0.0141       2.466      0.2151
       23.24      0.0187       1.058      0.3273
       21.57      0.0132       3.028      0.2619
       23.99      0.0199       1.804      0.5722
       25.24      0.0405      0.9361        1.23
       22.43      0.0129       3.122      0.3071
       23.94      0.0298      0.7873       2.406
       24.65      0.0299       2.488       1.309
       22.28      0.0158      0.4263       1.267
       23.68      0.0199       2.655      0.6307
       24.04      0.0285      0.1251        1666
       24.27      0.0258       1.937       1.201
       22.22      0.0164       1.156      0.2028
       24.16      0.0331      0.5267      0.8626
       24.44      0.0381      0.8726       1.073
       22.91      0.0179       0.221       0.236
       24.96      0.0437       1.386       1.519
       22.45      0.0173       1.324       1.028
       22.46       0.017      0.8668      0.3098
       23.34      0.0175        2.09       0.384
       23.81      0.0231       1.432       0.527
        23.5      0.0178           -1           -1
       24.49      0.0274       2.031      0.7002
       22.63      0.0173           -1           -1
        25.2      0.0472           -1           -1
       24.54      0.0491      0.9235        1.58
       23.17      0.0183       3.259      0.6941
       23.37      0.0176       1.132      0.4411
       24.96      0.0452       5.813       8.486
       24.32      0.0306           0      0.9405
        21.6      0.0141           0      0.1521
       24.27      0.0253       1.926      0.6897
       24.85      0.0358       19.89       57.22
        22.2      0.0143       1.476      0.2171
       23.29      0.0243       1.632       21.79
       21.99      0.0121       2.526           0
       24.11      0.0249       2.084      0.6804
       22.09      0.0129       1.331      0.1732
       23.85      0.0254      0.2303      0.6715
       23.92      0.0243       2.165      0.6388
       24.68      0.0328      0.8262       1.019
       22.23      0.0157           -1           -1
       23.88      0.0318       1.539        1.22
        23.5       0.022           -1           -1
       22.19       0.015           -1           -1
       23.68      0.0178       2.137      0.4078
       25.15      0.0901       1.844   8.667e+04
       22.29      0.0136       1.398           0
       24.99      0.0566           0       6.604
       23.25      0.0179       1.184      0.3167
       24.11      0.0335           -1           -1
       24.89      0.0359       2.962       1.403
       24.15      0.0218       1.657      0.5172
       22.94      0.0203      0.5926      0.3273
       21.89      0.0131       1.621           0
       23.87      0.0352           0    5.74e+09
       23.25      0.0203      0.6527      0.4025
       24.59      0.0477           -1           -1
       23.31      0.0169      0.8442      0.4099
       22.13      0.0163           -1           -1
        24.2      0.0236      0.6493      0.7812
        22.9       0.022        1.53      0.4078
       22.97      0.0148       3.267      0.2762
       23.69      0.0193       1.986      0.5383
       22.18      0.0159       1.407      0.1781
       22.61      0.0155       0.259      0.2502
       23.65      0.0297           -1           -1
       21.64      0.0136      0.4077           0
       23.11      0.0218      0.8455      0.4555
       22.79      0.0144           -1           -1
       24.37      0.0264       2.053      0.7674
       23.84       0.023       1.969      0.6494
       23.98      0.0198       2.982       3.376
       24.44      0.0276           0      0.9568
       23.43      0.0192       1.059      0.3273
       22.99      0.0179       2.662      0.3464
       22.67      0.0172           0      0.2249
       23.24      0.0196           -1           -1
       23.16      0.0231           -1           -1
       23.85      0.0326       1.132      0.7801
       21.78      0.0142      0.1786      0.1404
       24.32       0.037      0.9345       3.055
       24.58      0.0331       2.647       1.009
       24.87      0.0601       1.411       2.434
       23.91      0.0237       1.959      0.6454
        22.5      0.0139       1.097      0.2635
       23.29       0.018        2.43      0.4421
        23.5      0.0285        1.43      0.7505
       24.77      0.0325       1.168      0.9337
       24.34      0.0279       5.424       1.667
       21.36      0.0125       1.317           0
       21.64      0.0133      0.5769           0
       23.51      0.0255       1.405      0.5485
       23.69      0.0246      0.3436      0.6904
       22.61      0.0148       3.494       0.395
       23.35      0.0217           0      0.6057
        24.4      0.0407       2.349       1.386
       22.94      0.0176           -1           -1
       24.54      0.0341         2.5       1.123
       21.89      0.0153           -1           -1
       23.55       0.019           0      0.3817
       23.74       0.019       2.058      0.7184
       24.14      0.0222       1.007      0.5722
       22.72      0.0138      0.6742      0.2569
          24      0.0387       16.51       90.57
        24.2      0.0255        1.37      0.6972
       22.75      0.0157      0.8817      0.2249
        23.5      0.0197       2.118      0.5414
       23.69      0.0314           -1           -1
       22.94      0.0152      0.2754      0.4846
       23.03      0.0158       2.087       0.318
       21.66      0.0123       2.093           0
       21.76      0.0151           -1           -1
       24.69      0.0459           -1           -1
        24.1      0.0299       1.602      0.9568
       23.94      0.0256       1.237       0.674
       22.39      0.0166      0.9978      0.3194
       24.65      0.0379       2.352       1.244
       23.84      0.0292      0.2288      0.6414
       24.13       0.027       2.048      0.7878
       23.52      0.0219       1.336      0.5811
       21.96      0.0176      0.1868      0.2111
       21.63      0.0131           0           0
       23.13      0.0166       2.762      0.3414
       23.78      0.0231       1.622      0.5964
       23.56      0.0271       1.668      0.6631
       23.05      0.0189      0.8959       0.326
       22.76      0.0201      0.9364      0.2747
       24.98      0.0507       3.893       3.817
       22.32      0.0141     0.05998      0.2091
       22.75      0.0152       2.252      0.2324
       22.37      0.0137      0.5261           0
       24.16      0.0232           0      0.8161
       23.47      0.0202       2.472      0.5841
       22.76      0.0193           0           0
       20.93      0.0122       2.637      0.1242
       23.39      0.0198       2.189      0.4648
       22.83      0.0152       1.014      0.2778
       23.77      0.0277       1.377      0.6334
       23.93      0.0382           0      0.9929
       24.38      0.0276       2.519       2.869
       24.32      0.0299       2.203       1.288
       25.21       0.053       0.982       1.842
       23.82      0.0294      0.3255      0.9577
       23.46      0.0206       1.446      0.4675
       23.93      0.0249       1.138      0.9369
       24.17      0.0377       1.133       1.084
        22.4      0.0178       1.289      0.3761
       23.44      0.0198       1.955      0.4401
       21.65      0.0145           0      0.1875
       24.67      0.0501       1.713       1.597
       22.83      0.0215      0.1267      0.3749
       24.39      0.0308       2.385       1.209
       24.56      0.0399       2.042       1.553
       21.73      0.0144           -1           -1
       23.61       0.019       2.237      0.5609
       23.86      0.0352        1.61       1.257
       24.41      0.0341           -1           -1
       21.31      0.0134           -1           -1
       23.09      0.0216       1.781      0.4899
       24.02      0.0228      0.7586      0.6394
       24.37      0.0395           0       8.312
       24.45      0.0291       1.471        0.89
       24.09       0.026           0   5.938e+07
       22.05      0.0166           0      0.2342
       24.33       0.048      0.2107       2.642
       22.54      0.0147       1.418      0.2131
       22.68      0.0143       1.421      0.2986
       24.26      0.0378       1.413       1.086
        25.6      0.0648      0.3138       2.328
       23.68      0.0207           0      0.4846
       23.52       0.018       1.646      0.4703
       24.05      0.0221           0       1.966
        24.4      0.0285           0      0.8606
       23.25      0.0159       1.845      0.2808
       22.04      0.0171      0.1907      0.2131
       24.35      0.0275       1.558       4.921
        21.7       0.013       1.637           0
       23.23      0.0239       3.541      0.6029
        23.4      0.0248       1.166      0.7314
       24.71      0.0411       1.653       1.282
       21.24      0.0132       2.584           0
       21.94      0.0126           -1           -1
       24.25      0.0268        1.37      0.6747
       24.29      0.0347      0.5127       1.097
       23.29      0.0193      0.3011       0.413
       22.26      0.0149       1.661      0.1707
       22.75      0.0173      0.7911      0.2268
       24.94       0.045           0       1.504
       21.89      0.0122       2.476           0
       23.67      0.0261       1.048      0.7278
       24.09      0.0347           0       1.115
       24.82      0.0462       6.254        13.2
       24.24      0.0364       1.309       1.082
       24.82      0.0437      0.3306       1.927
