# This is the online version of Table 2 of G2C2 I (Vanderbeke et al. 2013): magnitudes based on CTIO data. 
# Default values are -100 in the table below. 
# Columns are ID, g, sigma_g, r, sigma_r, i, sigma_i, z, sigma_z, CMD_g, CMD_r, CMD_i, CMD_z,
# with CMD_{g,r,i,z} the applied magnitude corrections to clean foreground stars based on the CMDs. 

NGC6453     ,      9.016     ,      0.031     ,      8.381     ,      0.044     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100  
NGC6496     ,     10.095     ,      0.055     , -100     , -100     , -100     , -100     , -100     , -100     ,      0.49     , -100     , -100     ,      0.55  
NGC6517     ,      8.298     ,      0.030     ,      7.918     ,      0.043     ,      7.613     ,      0.044     ,      7.411     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC6539     ,      7.740     ,      0.036     ,      7.148     ,      0.044     ,      6.738     ,      0.044     ,      6.457     ,      0.045     ,      0.22     ,      0.14     ,      0.12     ,      0.11  
NGC6544     ,      3.941     ,      0.033     ,      4.341     ,      0.045     , -100     , -100     , -100     , -100     , -100     , -100     , -100     , -100  
NGC6541     ,      7.262     ,      0.031     , -100     , -100     , -100     , -100     , -100     , -100     ,      0.00     , -100     , -100     ,      0.01  
NGC6553     ,      5.254     ,      0.030     ,      5.145     ,      0.044     ,      4.966     ,      0.044     ,      4.822     ,      0.044     ,      0.19     ,      0.09     ,      0.06     ,      0.04  
NGC6558     ,      7.751     ,      0.035     ,      7.238     ,      0.045     ,      6.976     ,      0.045     ,      6.866     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
 IC1276     ,      6.814     ,      0.037     ,      6.427     ,      0.044     ,      6.148     ,      0.044     ,      6.016     ,      0.045     ,      0.19     ,      0.14     ,      0.18     ,      0.22  
NGC6569     ,      8.801     ,      0.031     ,      8.048     ,      0.044     ,      7.605     ,      0.044     ,      7.278     ,      0.044     ,      0.05     ,      0.04     ,      0.03     ,      0.04  
NGC6584     ,      9.793     ,      0.032     ,      9.279     ,      0.051     ,      9.017     ,      0.048     ,      8.947     ,      0.045     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC6624     ,      8.341     ,      0.031     ,      7.696     ,      0.044     ,      7.285     ,      0.046     ,      7.009     ,      0.049     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC6626     ,      6.180     ,      0.030     ,      5.706     ,      0.044     ,      5.424     ,      0.044     , -100     , -100     , -100     , -100     , -100     , -100  
NGC6638     ,      8.977     ,      0.031     ,      8.351     ,      0.044     ,      8.033     ,      0.044     ,      7.849     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC6637     ,      8.295     ,      0.064     ,      7.693     ,      0.048     ,      7.306     ,      0.049     , -100     , -100     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC6642     ,      9.309     ,      0.032     , -100     , -100     , -100     , -100     ,      8.152     ,      0.046     ,      0.11     , -100     , -100     ,      0.12  
NGC6652     ,      9.818     ,      0.031     , -100     , -100     , -100     , -100     ,      8.737     ,      0.046     ,      0.00     , -100     , -100     ,      0.00  
   Pal8     ,     10.569     ,      0.031     , -100     , -100     , -100     , -100     ,      9.349     ,      0.045     ,      0.01     , -100     , -100     ,      0.11  
NGC6681     ,      8.859     ,      0.030     , -100     , -100     , -100     , -100     , -100     , -100     ,      0.00     , -100     , -100     ,      0.00  
NGC6712     ,      7.955     ,      0.030     , -100     , -100     , -100     , -100     , -100     , -100     ,      0.00     , -100     , -100     ,      0.00  
NGC6715     ,      7.973     ,      0.030     , -100     , -100     , -100     , -100     ,      6.946     ,      0.043     ,      0.00     , -100     , -100     ,      0.00  
NGC6723     ,      7.585     ,      0.031     , -100     , -100     , -100     , -100     ,      6.810     ,      0.045     ,      0.00     , -100     , -100     ,      0.00  
NGC6749     ,      6.735     ,      0.045     , -100     , -100     , -100     , -100     ,      6.341     ,      0.044     ,      0.41     , -100     , -100     ,      0.05  
NGC6760     ,      8.304     ,      0.030     , -100     , -100     , -100     , -100     ,      6.522     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC6779     ,      8.613     ,      0.030     ,      8.138     ,      0.044     ,      7.879     ,      0.044     ,      7.748     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
Terzan7     ,     12.469     ,      0.031     , -100     , -100     , -100     , -100     ,     11.567     ,      0.044     , 0.00    , -100     , -100     , 0.00  
  Pal10     ,      7.862     ,      0.039     ,      7.498     ,      0.050     ,      7.328     ,      0.056     ,      7.216     ,      0.047     ,      1.33     ,      0.62     ,      0.39     ,      0.33  
  Pal11     ,     11.439     ,      0.034     , -100     , -100     , -100     , -100     ,     10.413     ,      0.048     ,      0.00     , -100     , -100     ,      0.00  
NGC6838     ,      7.973     ,      0.039     , -100     , -100     , -100     , -100     , -100     , -100     ,      0.00     , -100     , -100     ,      0.00  
NGC6864     ,      9.167     ,      0.030     ,      8.608     ,      0.044     ,      8.320     ,      0.044     ,      8.099     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC6934     ,      9.460     ,      0.030     ,      9.007     ,      0.045     ,      8.754     ,      0.045     ,      8.572     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
