|                ID |            RA |            DEC |      RA_hms |      DEC_dms |
| NGFS033922-353524 |     54.843638 |     -35.590022 | 03:39:22.47 | -35:35:24.08 |
| NGFS033929-353421 |     54.870451 |     -35.572583 | 03:39:28.91 | -35:34:21.30 |
| NGFS033932-360559 |     54.884181 |     -36.099673 | 03:39:32.20 | -36:05:58.82 |
| NGFS033942-353155 |     54.923359 |     -35.531899 | 03:39:41.61 | -35:31:54.84 |
| NGFS033942-352806 |     54.924988 |     -35.468362 | 03:39:42.00 | -35:28:06.10 |
| NGFS033946-361130 |     54.942303 |     -36.191657 | 03:39:46.15 | -36:11:29.97 |
| NGFS033948-361111 |     54.950765 |     -36.186495 | 03:39:48.18 | -36:11:11.38 |
| NGFS033948-344624 |     54.950856 |     -34.773438 | 03:39:48.21 | -34:46:24.38 |
| NGFS033950-350124 |     54.959189 |     -35.023227 | 03:39:50.21 | -35:01:23.62 |
| NGFS033951-360045 |     54.963183 |     -36.012438 | 03:39:51.16 | -36:00:44.78 |
| NGFS033951-351919 |      54.96409 |     -35.322073 | 03:39:51.38 | -35:19:19.46 |
| NGFS033953-360831 |        54.969 |     -36.141946 | 03:39:52.56 | -36:08:31.01 |
| NGFS033955-344146 |      54.97709 |     -34.696146 | 03:39:54.50 | -34:41:46.13 |
| NGFS034000-360537 |     55.001275 |     -36.093656 | 03:40:00.31 | -36:05:37.16 |
| NGFS034002-352930 |      55.00724 |     -35.491627 | 03:40:01.74 | -35:29:29.86 |
| NGFS034003-352920 |      55.01306 |     -35.488945 | 03:40:03.13 | -35:29:20.20 |
| NGFS034003-352754 |      55.01299 |     -35.465073 | 03:40:03.12 | -35:27:54.26 |
| NGFS034003-362143 |     55.013096 |     -36.361876 | 03:40:03.14 | -36:21:42.75 |
| NGFS034004-350422 |     55.018715 |     -35.072696 | 03:40:04.49 | -35:04:21.71 |
| NGFS034005-343907 |     55.021332 |     -34.652052 | 03:40:05.12 | -34:39:07.39 |
| NGFS034006-361402 |       55.0254 |       -36.2338 | 03:40:06.10 | -36:14:01.68 |
| NGFS034007-343554 |     55.028801 |     -34.598362 | 03:40:06.91 | -34:35:54.10 |
| NGFS034012-351720 |     55.052046 |     -35.288779 | 03:40:12.49 | -35:17:19.60 |
| NGFS034015-361608 |     55.060488 |     -36.269022 | 03:40:14.52 | -36:16:08.48 |
| NGFS034018-360332 |     55.075265 |     -36.058877 | 03:40:18.06 | -36:03:31.96 |
| NGFS034019-350815 |     55.077401 |     -35.137506 | 03:40:18.58 | -35:08:15.02 |
| NGFS034019-343233 |     55.078331 |     -34.542452 | 03:40:18.80 | -34:32:32.83 |
| NGFS034026-350013 |     55.109478 |     -35.003499 | 03:40:26.27 | -35:00:12.60 |
| NGFS034027-352512 |     55.111179 |     -35.419999 | 03:40:26.68 | -35:25:12.00 |
| NGFS034028-344710 |     55.118089 |     -34.786073 | 03:40:28.34 | -34:47:09.86 |
| NGFS034034-355318 |     55.140092 |     -35.888292 | 03:40:33.62 | -35:53:17.85 |
| NGFS034037-352119 |      55.15344 |     -35.355145 | 03:40:36.83 | -35:21:18.52 |
| NGFS034041-345656 |     55.168829 |      -34.94895 | 03:40:40.52 | -34:56:56.22 |
| NGFS034042-353941 |     55.176865 |      -35.66143 | 03:40:42.45 | -35:39:41.15 |
| NGFS034043-355139 |     55.180586 |     -35.860774 | 03:40:43.34 | -35:51:38.79 |
| NGFS034044-353222 |     55.181661 |     -35.539524 | 03:40:43.60 | -35:32:22.29 |
| NGFS034045-353007 |       55.1889 |        -35.502 | 03:40:45.34 | -35:30:07.20 |
| NGFS034050-352318 |     55.206793 |     -35.388438 | 03:40:49.63 | -35:23:18.38 |
| NGFS034050-350126 |      55.20752 |     -35.023855 | 03:40:49.80 | -35:01:25.88 |
| NGFS034053-350704 |     55.220374 |     -35.117729 | 03:40:52.89 | -35:07:03.82 |
| NGFS034057-344248 |     55.236268 |     -34.713218 | 03:40:56.70 | -34:42:47.58 |
| NGFS034058-361959 |     55.242253 |     -36.332917 | 03:40:58.14 | -36:19:58.50 |
| NGFS034104-345715 |     55.266001 |     -34.954146 | 03:41:03.84 | -34:57:14.93 |
| NGFS034104-353851 |     55.266536 |     -35.647586 | 03:41:03.97 | -35:38:51.31 |
| NGFS034106-353623 |     55.276093 |     -35.606365 | 03:41:06.26 | -35:36:22.91 |
| NGFS034107-354125 |       55.2788 |       -35.6903 | 03:41:06.91 | -35:41:25.08 |
