# ID RA DEC FCC Mem MType BTmag
FCC140 53.73480478373664 -35.189604303896964 140 1 dE4,N 19.0
FCC141 53.735265 -35.190913 141 2 dN 19.7
FCC142 53.74232630282473 -35.04102104475628 142 1 dE2,N 18.5
FCC144 53.7506681804199 -35.32077883600291 144 1 dE0 19.2
FCC145 53.772484038562276 -35.216974187999945 145 1 dE0 19.6
FCC146 53.79765108909794 -35.321518212307176 146 2 dE4,N 19.5
FCC149 53.84880573917878 -36.09006004335543 149 2 dE 19.9
FCC150 53.850193 -36.363752 150 1 dN? 15.7
FCC151 53.85535033605377 -36.17730884442295 151 1 dE0,N? 18.0
FCC154 53.87666180321446 -35.24988237592002 154 1 dE3 19.2
FCC155 53.89091435062694 -34.80326684761086 155 1 dE2 18.3
FCC156 53.927712476592504 -35.33675002012892 156 1 dE1 17.2
FCC157 53.92792185879303 -35.512586047983596 157 1 dE0,N? 18.3
FCC158 53.94255453824205 -35.98820408900382 158 1 dE6,N 16.8
FCC159 53.98143193054747 -34.826399726778426 159 1 d 18.1
FCC160 54.016399197377396 -35.38737619340308 160 1 dE1,N 17.7
FCC163 54.02825671721486 -35.841316498963344 163 1 dE0 19.8
FCC164 54.053605 -36.166272 164 1 d 16.4
FCC165 54.0977015922451 -35.90992328747218 165 1 dN 17.5
FCC166 54.09922684469159 -37.16216535347013 166 2 dE3,N 18.1
FCC168 54.115584157869854 -35.20915268094624 168 1 dN 18.7
FCC169 54.12961891893509 -34.8008701765806 169 1 dE2 17.2
FCC171 54.1557156148131 -35.38459006858704 171 2 dE0,N? 17.9
FCC172 54.15244229088644 -37.36348791104135 172 2 dE4 20.4
FCC173 54.1790832778309 -34.15772457705831 173 1 "dE3 / ImV" 18.0
FCC174 54.18890171272385 -33.01219594164469 174 2 "dE1,N or E(cD)" 16.7
FCC175 54.17787678668928 -35.43412218358732 175 2 dE3 18.8
FCC178 54.20209168017572 -34.27864965544069 178 1 dE3,N 17.2
FCC180 54.20472659576487 -36.228125310640685 180 1 dS0 18.0
FCC181 54.221141101552156 -34.936787063784344 181 1 dE2,N 17.2
FCC183 54.219800825319474 -36.48485412266992 183 1 dS0(7),N 17.2
FCC185 54.261013856825464 -34.873887765718734 185 1 dE3 19.5
FCC186 54.24238995179889 -38.13301731491706 186 2 dE4 17.8
FCC187 54.26967001306257 -34.60169674778798 187 1 d 17.5
FCC188 54.26876 -35.590182 188 1 dN 16.1
FCC189 54.283894833010756 -34.72980966113632 189 2 dE4,N 18.8
FCC191 54.291269307062 -35.38540124416267 191 2 dN 19.3
FCC192 54.29160626009878 -35.886796892618435 192 2 dN 19.6
FCC194 54.32434315512933 -35.69720156415569 194 2 dN 18.2
FCC195 54.34694779558232 -34.89867094537217 195 1 d 16.7
FCC196 54.39092364351465 -35.82774320385645 196 1 dN 17.7
FCC197 54.420296745145926 -35.294797715158026 197 1 dE3 19.1
FCC198 54.42740268359512 -37.20734692840674 198 1 dE5 17.9
FCC200 54.477628491037336 -34.880575063957345 200 1 dE2 17.4
FCC201 54.4731108294455 -37.27836147120559 201 1 dE4 16.7
FCC202 54.527266 -35.439882 202 1 dN 15.3
FCC203 54.53797204480733 -34.516920599257524 203 1 dE6,N 15.5
FCC204 54.55675109039721 -33.12531367562611 204 1 dS0(8),N 14.9
FCC205 54.529497809956474 -38.094149171332354 205 1 dE1,N? 16.9
FCC206 54.55578627359468 -37.28841037294786 206 1 "dE0 pec" 15.8
FCC207 54.580167 -35.12905 207 1 d 15.9
FCC208 54.577750760709925 -35.529033085789436 208 1 dE2,N 17.3
FCC209 54.593237983108985 -33.65851889291896 209 2 dE5,N 18.7
FCC210 54.57952435829724 -36.06432374877546 210 1 dE0 18.7
FCC212 54.586976057996644 -36.411857069180165 212 1 dE1? 17.6
FCC214 54.65202814619932 -35.832385686678776 214 1 dE0 19.0
FCC215 54.65623313533865 -35.755457032791995 215 2 dE,N? 19.2
FCC216 54.66301299157552 -36.556603875262155 216 2 dE0 19.2
FCC217 54.67278527411102 -36.725533341269845 217 2 "dE / ImV" 19.7
FCC218 54.6886892815184 -35.264468998492866 218 1 dN 18.5
FCC220 54.72919938440424 -35.2351846129075 220 1 dE2 19.5
