				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs							mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err								flag
54_042297_35_671056              54.042107              -35.671438           03 36 10.11     -35 40 17.2                    21.03              0.03           19.27              0.89              0.75              0.05              0.77              0.02       -0.88           5.71                    old                                                          
54_048306_35_059115              54.048388              -35.059246           03 36 11.61     -35 03 33.3                    21.39              0.00            6.25              0.19              1.06              0.08              0.95              0.04      -38.33          25.36                    new                                                          
54_051180_35_745818              54.050916              -35.746384           03 36 12.22     -35 44 47.0                    21.36              0.00           12.86              0.30              0.63              0.04              0.51              0.02       88.22           1.57                    new                                                          
54_083131_34_594537              54.083365              -34.594147           03 36 20.01     -34 35 38.9                    21.67              0.00           16.98              0.64              0.41              0.05              0.54              0.03      -68.64           2.73                    new                                                          
54_098793_35_522925              54.098615              -35.522680           03 36 23.67     -35 31 21.6                    22.55              0.00            6.24              0.31              0.46              0.10              0.77              0.05      -16.76           9.01                    new                                                          
54_099840_35_878367              54.099567              -35.878437           03 36 23.90     -35 52 42.4                    20.60              0.00            7.28              0.11              1.10              0.04              0.75              0.01       86.15           2.41                    new                                                          
54_103852_34_746296              54.104510              -34.746349           03 36 25.08     -34 44 46.9                    21.97              0.00            6.98              0.29              0.82              0.09              0.84              0.05      -13.21          11.44                    new                                                          
54_105148_35_703007              54.104877              -35.703291           03 36 25.17     -35 42 11.8                    19.55              0.00           24.25              0.28              0.86              0.02              0.55              0.01      -75.82           0.83                    new                                                          
54_110446_35_639622              54.110988              -35.639164           03 36 26.64     -35 38 21.0                    22.16              0.00            8.91              0.43              0.61              0.08              0.99              0.07       17.13         161.25                    new                                                          
54_130365_36_379736              54.130173              -36.380022           03 36 31.24     -36 22 48.1                    21.96              0.00            5.56              0.27              1.60              0.18              0.64              0.04       10.46           5.35                    new                                                          
54_135555_36_134285              54.135644              -36.134365           03 36 32.55     -36 08 03.7                    21.65              0.02            6.34              0.18              0.69              0.05              0.77              0.02      -38.64           4.04                    old                                                          
54_160916_35_611454              54.160631              -35.611326           03 36 38.55     -35 36 40.8                    20.39              0.02           23.19              0.83              0.86              0.04              0.82              0.02        1.40           5.37                    old                                                          
