  RA                   DEC                   FCC   Mem   MType                     BTmag  
  54.58892560263976    -35.25824098573445    211   2     d:E2,N                    16.3   
  54.586976057996644   -36.411857069180165   212   1     dE1?                      17.6   
  54.62146467155311    -35.45059394824581    213   1     E0                        10.6   
  54.65202814619932    -35.832385686678776   214   1     dE0                       19.0   
  54.65623313533865    -35.755457032791995   215   2     dE,N?                     19.2   
  54.66301299157552    -36.556603875262155   216   2     dE0                       19.2   
  54.67278527411102    -36.725533341269845   217   2     "dE / ImV"                19.7   
  54.6886892815184     -35.264468998492866   218   1     dE4                       18.5   
  54.71708171243655    -35.59375165052171    219   1     E2                        10.9   
  54.72919938440424    -35.2351846129075     220   1     dE2                       19.5   
  54.773508368237515   -36.097314044875475   221   2     dE4,N                     17.7   
  54.80532941484316    -35.36965435556269    222   1     dE0,N                     15.6   
  54.83107185714519    -35.7233714005337     223   1     dE0,N                     16.2   
  54.88609776319177    -31.790215136661633   224   1     "ImV or dE"               16.9   
  54.906699273184074   -36.552014013564296   225   2     dE4                       19.6   
  54.958767099731716   -35.02109264795853    226   1     dE?                       17.8   
  54.95869898539798    -35.52109784207739    227   1     dE0,N?                    19.3   
  54.963640794014296   -35.320559711171505   228   1     dE0                       18.8   
  54.97989838525335    -35.66090580691809    229   1     dE0                       19.1   
  55.004825317886066   -34.756550516893654   230   1     dE5,N                     17.2   
  55.01867366924511    -34.16604366917918    231   1     dE0,N?                    18.4   
  55.03042363381055    -32.317737876739564   232   1     dE7,N                     17.4   
  55.02550161244371    -36.23220449871219    233   2     ImV                       19.6   
  55.04116931046792    -34.44502493901699    234   1     dE5,N                     17.2   
  55.03834244254955    -35.62308207740867    235   1     ImIII                     13.4   
  55.040807979437396   -35.83476089437119    236   2     dE2                       19.2   
  55.078695943090295   -33.420163309612285   237   1     dE3                       17.8   
  55.07105564041465    -36.53350013788483    238   2     dE5,N                     18.7   
  55.07709442353136    -37.498257505893385   239   2     dE5                       18.9   
  55.11420423971714    -31.6838979370408     240   1     ImIV                      16.5   
  55.09698582891924    -35.274422547925745   241   1     dE0,N                     16.6   
  55.085742328138586   -37.64273804573884    242   1     dE5                       17.8   
  55.11202609090621    -36.49755160229977    243   1     dE1,N                     16.5   
  55.1274647978525     -35.87621714725922    244   2     "dE6 / ImIV?"             18.2   
  55.140493297772245   -35.02125956087752    245   1     dE0,N                     16.0   
  55.156339444986735   -36.11966814322205    246   1     dE2                       19.1   
  55.17576267045095    -35.65974033171673    247   1     "dE3 / Im?"               17.8   
  55.18037640475971    -35.85948315330471    248   2     dE3                       18.7   
  55.174732587651036   -37.50920179800782    249   1     E0                        13.6   
  55.184111575270705   -37.406737950565976   250   1     dE1                       17.1   
  55.20619341096711    -35.0220767180997     251   1     dE0                       19.0   
  55.20933511002494    -35.74681945700987    252   1     dE0,N                     16.0   
  55.23002689728791    -37.83664817089491    253   1     dE5,N?                    16.3   
  55.25261939591682    -35.740602971337836   254   1     dE0,N                     17.6   
  55.264215806204895   -33.77729452139262    255   1     "S0  (6),N"               13.7   
  55.26523839756432    -34.95314457151316    256   1     dE3                       20.1   
  55.26649823777892    -35.645935014545394   257   2     dE0,N?                    18.1   
  55.27913047893615    -35.68876363028846    258   1     dE2                       19.6   
  55.28060335541682    -35.513489773838806   259   2     dE2                       17.8   
  55.3027005902328     -35.15690727854932    260   1     dE0,N                     17.0   
  55.33913106536194    -33.76787092291594    261   1     "dE3 pec,N / ImIV"        15.8   
  55.33869110360629    -35.94705963624989    262   1     dE1                       17.8   
  55.3841447413377     -34.888062615640386   263   1     SBcdIII                   14.6   
  55.38203675366341    -35.58778415454221    264   1     "dS0  (8),N"              16.8   
  55.42686256627973    -33.482940303490366   265   1     dE5                       18.1   
  55.42156394933155    -35.16877066271116    266   1     dE0,N                     15.9   
  55.439234334136344   -33.78993740949454    267   1     SmIV                      16.0   
  55.45716913233365    -36.6286515847973     268   2     dE1                       18.3   
  55.488617959852085   -35.29070658418274    269   1     dE0                       18.3   
  55.4995026893042     -37.63272143498912    270   2     dE                        19.7   
  55.52536018092618    -34.84807081091586    271   1     dE1                       18.7   
  55.545509583732695   -35.442324636202876   272   1     dE                        19.2   
  55.56512073849849    -34.453503304565395   273   2     dE2                       18.8   
  55.57153989055128    -35.53909651772529    274   1     dE0,N                     16.5   
  55.578486544527294   -35.559402318385175   275   1     dE                        19.3   
  55.579904658099125   -35.393295024026514   276   1     E4                        11.8   
  55.594240136433555   -35.15279416054908    277   1     E5(boxy)                  13.8   
  55.61303544347513    -33.869244289037596   278   2     dE6,N                     16.8   
  55.609417835818356   -36.685650064290655   279   1     dE0,N                     16.7   
  55.65343156569695    -35.95442902541559    280   1     dE1                       18.6   
  55.66062244379295    -35.86640127275599    281   1     dE1                       17.9   
  55.6892729857125     -33.91871677397141    282   1     "ImIV / dE pec"           14.5   
  55.66364088210985    -38.228663311640794   283   2     dE2                       17.8   
  55.72825787962761    -35.341944161919145   284   2     dE1                       19.0   
  55.75753186451431    -36.26984983429591    285   1     SdIII?                    14.2   
  55.80230800081283    -34.641677799531394   286   1     dE0,N?                    18.1   
  55.80579537090939    -35.517257091063335   287   2     dE0                       18.0   
  55.84429430740478    -33.937394165317805   288   1     dS0(9),N                  15.4   
  55.84608186721453    -34.693798480957724   289   1     dE0                       18.7   
  55.90396866254234    -35.853488377024526   290   1     ScII                      12.8   
  55.91491554491129    -35.214358462754596   291   2     dE5                       19.4   
  55.97633151200792    -33.03985937591216    292   1     dE6,N?                    17.1   
  56.10439665628847    -35.8551278380602     293   1     dE1,N                     17.6   
  56.11304881035568    -35.66432716370068    294   1     dE1,N?                    17.2   
  56.12432222987059    -35.17686704102271    295   2     dE0                       18.9   
  56.13669247695876    -35.19441706294543    296   1     dE1,N                     16.3   
  56.16308853227473    -35.98119903940981    297   1     dE1                       17.8   
  56.18446728211204    -35.68211509541108    298   2     dE2,N                     16.6   
  56.24390059570762    -36.89320217258856    299   2     "Sd(on edge)"             17.1   
  56.249164837597434   -36.31793886200501    300   1     dE4,N                     16.1   
  56.26461604643674    -35.97133050197578    301   1     E4                        14.2   
  56.30076491182287    -35.569249524234785   302   1     "Sdm(on edge)"            15.7   
  56.308086329081654   -36.9354061202151     303   1     dE1,N                     15.5   
  56.37788192886011    -34.503715542742576   304   1     dE1                       18.8   
  56.39032614044241    -37.081295557974975   305   1     "dS0  (6)"                15.7   
  56.43862214561389    -36.34453757732061    306   1     SBmIII                    15.6   
  56.44858328607496    -35.059007479236726   307   1     dE3                       17.7   
  56.47804989472673    -36.356919376332826   308   1     "Sd(on edge)"             13.8   
  56.53376815274891    -36.821316974249925   309   1     dE2                       17.5   
  56.55701775714639    -36.69529847345809    310   1     SB0                       13.5   
  56.57524045190239    -33.762005435238315   311   1     dS0(8),N                  16.9   
  56.5786280613914     -34.94203229376189    312   1     "Scd(on edge)"            13.5   
  56.63881600993512    -34.6844953846997     313   1     dS0(9)                    17.4   
  56.655962859813414   -37.157927047145506   314   1     dE2,N                     16.5   
  56.7689602254798     -33.70806774701588    315   1     Sab(rs)II                 12.6   
  56.75575410993851    -36.43610087578348    316   1     dE3,N                     16.3   
  56.78728108169274    -32.772576362988424   317   1     dE1                       17.7   
  56.7834774324661     -36.325378738964545   318   1     dE2,N                     16.1   
  56.81742873418757    -32.30074923772052    319   1     dE6,N                     16.4   
  56.893404163496      -32.253279496046346   320   2     dE5,N?                    17.3   
  56.89142528199883    -35.952757205565106   321   1     dE                        18.8   
  56.88786254520773    -38.580274795369334   322   1     Sd                        12.5   
  56.90592227385492    -36.3622654063171     323   1     "dE2 / ImV"               17.5   
  56.96928480742518    -36.47030211009671    324   1     "dS0  (8)"                15.3   
  57.00898620402519    -35.025168935062744   325   1     dE3                       18.2   
  57.0170362648818     -36.74494413820224    326   1     dE1                       18.6   
  57.039907453408226   -37.5239356255738     327   1     dE3?                      17.4   
  57.09133316565077    -36.106072337492925   328   1     dE                        18.4   
  57.231196777052446   -35.951362862367525   329   2     dE                        18.2   
  57.307045995029874   -35.92556101094338    330   2     dE                        19.4   
  57.30210039193438    -36.972775646551405   331   1     dE                        17.1   
  57.45373316484394    -35.94421621823243    332   1     "E or S0"                 15.7   
  57.49359847083994    -36.086603220041766   333   1     "E or S0"                 16.8   
  57.596125253279475   -35.24673523106167    334   2     dE(boxy)                  18.6   
  57.65274836073901    -35.90808618663978    335   1     E                         14.2   
  57.71845178567926    -35.1705690784178     336   1     "dE pec"                  17.6   
  57.754737998031125   -36.68240274729427    337   1     "dE / ImV"                17.8   
  58.00405661142771    -33.467278285706016   338   1     S0                        14.3   
  58.012315180552456   -37.87347625747498    339   2     dE,N                      17.5   
  58.32279894401885    -37.83253359105924    340   2     dE                        18.2   
