21.97    1.37    1.6  
21.10    _       1.1  
21.09    1.18    1.2  
21.53    0.87    2.8  
21.62    1.46    2.2  
21.16    0.69    1.9  
18.51    1.07    3.8  
21.32    1.70    2.0  
21.40    _       3.6  
19.35    1.36    1.4  
21.51    2.26    3.5  
19.08    0.98    7.6  
21.58    2.29    1.6  
21.40    2.07    1.3  
21.44    _       2.0  
21.94    _       2.0  
20.19    _       6.8  
21.85    1.66    1.0  
21.44    _       1.4  
19.97    0.94    4.5  
21.46    1.90    3.0  
21.43    _       3.1  
18.21    0.92    3.8  
20.92    1.56    1.2  
21.67    0.73    1.2  
21.54    1.06    0.9  
21.33    0.63    1.3  
20.74    1.50    1.1  
20.60    1.27    1.9  
21.18    1.06    2.0  
21.17    1.91    1.2  
21.84    0.46    1.2  
21.88    1.15    1.0  
21.50    1.59    1.4  
21.67    1.25    3.7  
21.36    2.43    2.0  
21.52    1.30    2.0  
21.70    1.29    1.7  
21.63    2.24    2.2  
21.57    1.03    1.8  
20.03    1.71    2.0  
21.09    1.49    1.4  
21.96    1.16    1.4  
21.86    0.94    1.0  
21.27    1.93    1.4  
21.45    1.35    1.4  
21.65    1.29    1.2  
21.87    1.68    1.2  
21.54    1.89    2.0  
21.60    _       2.0  
21.82    0.68    1.2  
21.49    0.80    1.8  
21.61    1.43    2.0  
21.88    1.67    1.6  
21.69    0.84    1.0  
20.52    0.54    3.8  
20.83    1.20    1.2  
21.40    2.06    1.2  
21.88    0.69    1.2  
21.58    0.69    1.3  
21.78    2.01    1.6  
21.69    1.46    2.0  
20.62    1.00    2.1  
21.49    0.60    1.7  
21.67    1.24    1.4  
20.37    1.79    1.2  
21.81    1.22    1.2  
20.59    1.86    2.0  
20.88    1.32    1.1  
21.11    1.15    1.4  
21.56    1.33    1.7  
21.53    2.35    1.8  
21.78    1.09    2.0  
21.52    0.94    2.3  
21.86    1.33    1.0  
22.00    1.11    1.2  
20.59    _       1.4  
20.44    _       2.1  
20.08    1.65    1.0  
21.39    1.68    1.6  
20.20    1.10    1.4  
21.94    1.69    1.0  
21.61    2.40    1.0  
21.54    2.08    1.4  
20.06    1.33    1.7  
21.21    1.09    1.0  
21.23    0.97    0.7  
20.48    1.65    1.2  
20.89    1.10    0.8  
21.91    2.04    0.7  
21.88    1.75    0.8  
21.83    1.74    1.5  
21.11    1.13    0.7  
21.11    1.28    1.0  
21.33    1.48    1.7  
21.00    1.58    1.6  
21.32    1.25    1.2  
21.99    2.07    0.8  
21.65    1.02    1.1  
21.48    1.33    1.6  
20.99    1.55    1.3  
21.71    1.94    0.9  
20.35    1.36    2.0  
20.59    1.41    2.2  
20.47    1.45    1.8  
18.91    1.53    1.6  
18.95    1.34    2.2  
20.26    1.18    1.2  
21.79    1.21    0.8  
21.46    1.85    1.4  
21.16    1.13    1.3  
21.36    1.66    1.2  
21.40    0.91    1.4  
21.48    2.50    1.6  
20.58    1.85    1.2  
20.67    1.59    1.3  
21.22    2.18    1.0  
21.92    1.11    1.3  
21.27    1.11    1.0  
18.88    1.48    3.4  
21.87    2.57    1.0  
21.55    1.70    0.9  
21.94    1.51    0.9  
18.70    1.37    2.4  
18.05    1.53    2.3  
20.60    2.09    1.1  
14.88    1.34   10.7  
18.52    1.17    5.2  
21.73    2.34    1.0  
21.22    1.47    0.8  
21.91    0.99    1.2  
21.86    0.84    1.0  
21.26    2.04    1.8  
21.89    2.41    0.9  
20.00    1.49    1.6  
21.93    2.78    1.8  
21.36    0.85    1.9  
20.50    1.54    1.2  
21.69    2.08    1.1  
18.92    1.20    1.8  
21.31    1.17    1.0  
20.93    1.20    1.4  
21.22    1.40    1.6  
21.62    2.21    1.5  
21.12    0.62    1.8  
21.15    0.72    0.9  
21.56    1.15    1.1  
21.68    1.36    1.0  
