	ID							RA						DEC					RAh RAm RAs		DECd DECm DECs
54_531334_36_071826              54.531330              -36.072092           03 38 07.52     -36 04 19.5                                                
54_535323_36_008573              54.535271              -36.008354           03 38 08.47     -36 00 30.1                                                
54_536126_35_165484              54.535921              -35.165108           03 38 08.62     -35 09 54.4                                                
54_546496_36_337462              54.545856              -36.337657           03 38 11.01     -36 20 15.6                                                
54_561855_35_123046              54.562036              -35.122848           03 38 14.89     -35 07 22.3                                                
54_564169_36_280861              54.564160              -36.281169           03 38 15.40     -36 16 52.2                                                
54_575035_34_674522              54.575622              -34.674438           03 38 18.15     -34 40 28.0                                                
54_580221_36_065543              54.580131              -36.065719           03 38 19.23     -36 03 56.6                                                
54_593458_34_927071              54.593667              -34.926927           03 38 22.48     -34 55 36.9                                                
54_595687_35_759487              54.595511              -35.760315           03 38 22.92     -35 45 37.1                                                
54_603719_36_071817              54.603971              -36.071598           03 38 24.95     -36 04 17.8                                                
54_606718_36_095700              54.606718              -36.095700           03 38 25.61     -36 05 44.5                                                
54_613138_35_152030              54.613447              -35.152073           03 38 27.23     -35 09 07.5                                                
54_631350_34_774261              54.631123              -34.774638           03 38 31.47     -34 46 28.7                                                
54_652490_35_833886              54.652580              -35.833946           03 38 36.62     -35 50 02.2                                                
54_675841_35_552272              54.675859              -35.552130           03 38 42.21     -35 33 07.7                                                
54_695749_34_986740              54.695702              -34.986876           03 38 46.97     -34 59 12.8                                                
54_716883_36_301271              54.716789              -36.301054           03 38 52.03     -36 18 03.8                                                
54_726073_35_986390              54.725820              -35.986665           03 38 54.20     -35 59 12.0                                                
54_729106_35_237086              54.729368              -35.237000           03 38 55.05     -35 14 13.2                                                
54_740342_35_184769              54.739897              -35.184658           03 38 57.58     -35 11 04.8                                                
54_745879_35_740786              54.745801              -35.741138           03 38 58.99     -35 44 28.1                                                
54_753410_36_338243              54.753401              -36.338584           03 39 00.82     -36 20 18.9                                                
54_779224_35_122908              54.779490              -35.122876           03 39 07.08     -35 07 22.4                                                
54_816794_35_005674              54.816614              -35.005877           03 39 15.99     -35 00 21.2                                                
54_821872_35_778770              54.822072              -35.779284           03 39 17.30     -35 46 45.4                                                
54_843603_35_589896              54.843638              -35.590022           03 39 22.47     -35 35 24.1                                                
54_870302_35_572444              54.870451              -35.572583           03 39 28.91     -35 34 21.3                                                
54_884701_36_099635              54.884181              -36.099673           03 39 32.20     -36 05 58.8                                                
54_923278_35_531898              54.923359              -35.531899           03 39 41.61     -35 31 54.8                                                
54_924511_35_468637              54.924988              -35.468362           03 39 42.00     -35 28 06.1                                                
54_942374_36_191563              54.942303              -36.191657           03 39 46.15     -36 11 30.0                                                
54_950673_36_186131              54.950765              -36.186495           03 39 48.18     -36 11 11.4                                                
54_950837_34_773710              54.950856              -34.773438           03 39 48.21     -34 46 24.4                                                
54_959116_35_023323              54.959189              -35.023227           03 39 50.21     -35 01 23.6                                                
54_963258_36_012110              54.963183              -36.012438           03 39 51.16     -36 00 44.8                                                
54_964300_35_322490              54.964090              -35.322073           03 39 51.38     -35 19 19.5                                                
54_968992_36_141662              54.969000              -36.141946           03 39 52.56     -36 08 31.0                                                
54_977017_34_696208              54.977090              -34.696146           03 39 54.50     -34 41 46.1                                                
55_001372_36_093632              55.001275              -36.093656           03 40 00.31     -36 05 37.2                                                
55_007334_35_491729              55.007240              -35.491627           03 40 01.74     -35 29 29.9                                                
55_012880_35_488859              55.013060              -35.488945           03 40 03.13     -35 29 20.2                                                
55_012927_35_465776              55.012990              -35.465073           03 40 03.12     -35 27 54.3                                                
55_013045_36_361481              55.013096              -36.361876           03 40 03.14     -36 21 42.8                                                
55_018537_35_072778              55.018715              -35.072696           03 40 04.49     -35 04 21.7                                                
55_020824_34_652231              55.021332              -34.652052           03 40 05.12     -34 39 07.4                                                
55_025435_36_233845              55.025400              -36.233800           03 40 06.10     -36 14 01.7                                                
55_028498_34_598234              55.028801              -34.598362           03 40 06.91     -34 35 54.1                                                
55_051650_35_289438              55.052046              -35.288779           03 40 12.49     -35 17 19.6                                                
55_060339_36_268759              55.060488              -36.269022           03 40 14.52     -36 16 08.5                                                
55_075443_36_058640              55.075265              -36.058877           03 40 18.06     -36 03 32.0                                                
55_077814_35_130239              55.077401              -35.137506           03 40 18.58     -35 08 15.0                                                
55_077823_34_542607              55.078331              -34.542452           03 40 18.80     -34 32 32.8                                                
55_109358_35_003593              55.109478              -35.003499           03 40 26.27     -35 00 12.6                                                
55_111349_35_420001              55.111179              -35.419999           03 40 26.68     -35 25 12.0                                                
55_118091_34_786489              55.118089              -34.786073           03 40 28.34     -34 47 09.9                                                
55_140321_35_888154              55.140092              -35.888292           03 40 33.62     -35 53 17.9                                                
55_153262_35_355448              55.153440              -35.355145           03 40 36.83     -35 21 18.5                                                
55_169040_34_948892              55.168829              -34.948950           03 40 40.52     -34 56 56.2                                                
55_176859_35_660731              55.176865              -35.661430           03 40 42.45     -35 39 41.1                                                
55_180676_35_860706              55.180586              -35.860774           03 40 43.34     -35 51 38.8                                                
55_181396_35_540110              55.181661              -35.539524           03 40 43.60     -35 32 22.3                                                
55_188906_35_502452              55.188900              -35.502000           03 40 45.34     -35 30 07.2                                                
55_206726_35_388188              55.206793              -35.388438           03 40 49.63     -35 23 18.4                                                
55_207789_35_024212              55.207520              -35.023855           03 40 49.80     -35 01 25.9                                                
55_220155_35_117344              55.220374              -35.117729           03 40 52.89     -35 07 03.8                                                
55_236284_34_713511              55.236268              -34.713218           03 40 56.70     -34 42 47.6                                                
55_242254_36_332996              55.242253              -36.332917           03 40 58.14     -36 19 58.5                                                
55_266215_34_954278              55.266001              -34.954146           03 41 03.84     -34 57 14.9                                                
55_266820_35_647450              55.266536              -35.647586           03 41 03.97     -35 38 51.3                                                
55_276063_35_606052              55.276093              -35.606365           03 41 06.26     -35 36 22.9                                                
55_278893_35_690328              55.278800              -35.690300           03 41 06.91     -35 41 25.1                                                
55_299877_36_069068              55.299609              -36.069294           03 41 11.91     -36 04 09.5                                                
55_311066_35_450691              55.311188              -35.450948           03 41 14.69     -35 27 03.4                                                
55_322646_35_648422              55.322093              -35.648292           03 41 17.30     -35 38 53.9                                                
55_338897_35_948670              55.339077              -35.948656           03 41 21.38     -35 56 55.2                                                
55_344247_35_005799              55.344006              -35.005584           03 41 22.56     -35 00 20.1                                                
55_345325_35_896403              55.345187              -35.896656           03 41 22.84     -35 53 48.0                                                
55_348414_35_763080              55.348314              -35.763366           03 41 23.60     -35 45 48.1                                                
55_349506_36_080363              55.349458              -36.080581           03 41 23.87     -36 04 50.1                                                
55_359847_35_379888              55.359895              -35.379584           03 41 26.37     -35 22 46.5                                                
55_361720_34_916506              55.362062              -34.916582           03 41 26.89     -34 54 59.7                                                
55_366067_35_719940              55.366334              -35.720336           03 41 27.92     -35 43 13.2                                                
55_418945_35_352528              55.419261              -35.352290           03 41 40.62     -35 21 08.2                                                
55_443408_35_515530              55.443722              -35.515360           03 41 46.49     -35 30 55.3                                                
55_458440_35_535578              55.458626              -35.535276           03 41 50.07     -35 32 07.0                                                
55_472199_34_880448              55.472189              -34.880948           03 41 53.33     -34 52 51.4                                                
55_485620_35_889118              55.485605              -35.889438           03 41 56.55     -35 53 22.0                                                
55_488897_35_292186              55.488894              -35.292364           03 41 57.33     -35 17 32.5                                                
55_546602_35_443437              55.546540              -35.443142           03 42 11.17     -35 26 35.3                                                
55_579929_35_560831              55.579554              -35.561026           03 42 19.09     -35 33 39.7                                                
55_637543_35_532572              55.637498              -35.531854           03 42 33.00     -35 31 54.7                                                
55_646764_35_984759              55.646015              -35.985095           03 42 35.04     -35 59 06.3                                                
55_653675_35_955773              55.653783              -35.955917           03 42 36.91     -35 57 21.3                                                
55_660488_35_868209              55.660661              -35.868071           03 42 38.56     -35 52 05.1                                                
55_661116_35_764121              55.661102              -35.764146           03 42 38.66     -35 45 50.9                                                
55_678760_35_540669              55.678970              -35.540671           03 42 42.95     -35 32 26.4                                                
55_696985_35_390032              55.696985              -35.389707           03 42 47.28     -35 23 22.9                                                
55_751891_35_635505              55.751894              -35.635791           03 43 00.45     -35 38 08.8                                                
55_806324_35_519402              55.806295              -35.519108           03 43 13.51     -35 31 08.8                                                
55_897924_35_674068              55.897636              -35.674368           03 43 35.43     -35 40 27.7                     
