|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |
| NGFS033558-352053 |    53.991060 |   -35.348000 | 03:35:57.85 | -35:20:52.80 |  19.30 | -12.24 |     0.72 |       4.216 |    0.500 |
| NGFS033600-355610 |    54.000458 |   -35.936191 | 03:36:00.11 | -35:56:10.29 |  21.52 | -10.02 |     0.39 |       3.669 |    0.557 |
| NGFS033600-345240 |    54.000817 |   -34.877802 | 03:36:00.20 | -34:52:40.09 |  19.44 | -12.10 |     0.70 |       7.640 |    0.503 |
| NGFS033601-361529 |    54.004474 |   -36.257919 | 03:36:01.07 | -36:15:28.51 |  20.34 | -11.20 |     0.72 |       3.674 |    0.526 |
| NGFS033602-351839 |    54.007345 |   -35.310717 | 03:36:01.76 | -35:18:38.58 |  20.97 | -10.57 |     0.84 |       2.875 |    0.543 |
| NGFS033603-362116 |    54.010699 |   -36.354512 | 03:36:02.57 | -36:21:16.24 |  21.52 | -10.02 |     1.26 |       3.096 |    0.557 |
| NGFS033605-362009 |    54.018900 |   -36.335900 | 03:36:04.54 | -36:20:09.24 |  20.05 | -11.49 |     0.67 |       7.161 |    0.519 |
|            FCC163 |    54.027772 |   -35.842585 | 03:36:06.67 | -35:50:33.31 |  18.61 | -12.93 |     0.60 |      12.130 |    0.482 |
| NGFS033608-355913 |    54.035091 |   -35.986927 | 03:36:08.42 | -35:59:12.94 |  21.07 | -10.47 |     1.28 |       4.011 |    0.545 |
| NGFS033609-353903 |    54.039279 |   -35.650919 | 03:36:09.43 | -35:39:03.31 |  21.05 | -10.49 |     0.87 |       1.920 |    0.545 |
| NGFS033610-354017 |    54.042107 |   -35.671438 | 03:36:10.11 | -35:40:17.18 |  21.03 | -10.51 |     0.75 |       5.068 |    0.544 |
| NGFS033611-345034 |    54.046175 |   -34.842816 | 03:36:11.08 | -34:50:34.14 |    nan |    nan |      nan |         nan |      nan |
| NGFS033612-350333 |    54.048388 |   -35.059246 | 03:36:11.61 | -35:03:33.29 |  21.39 | -10.15 |     1.06 |       1.644 |    0.554 |
| NGFS033612-354447 |    54.050916 |   -35.746384 | 03:36:12.22 | -35:44:46.98 |  21.36 | -10.18 |     0.63 |       3.382 |    0.553 |
| NGFS033620-343539 |    54.083365 |   -34.594147 | 03:36:20.01 | -34:35:38.93 |  21.67 |  -9.87 |     0.41 |       4.466 |    0.561 |
| NGFS033624-353122 |    54.098615 |   -35.522680 | 03:36:23.67 | -35:31:21.65 |  22.55 |  -8.99 |     0.46 |       1.641 |    0.584 |
| NGFS033624-355242 |    54.099567 |   -35.878437 | 03:36:23.90 | -35:52:42.37 |  20.60 | -10.94 |     1.10 |       1.915 |    0.533 |
| NGFS033625-344447 |    54.104510 |   -34.746349 | 03:36:25.08 | -34:44:46.86 |  21.97 |  -9.57 |     0.82 |       1.836 |    0.569 |
| NGFS033625-354212 |    54.104877 |   -35.703291 | 03:36:25.17 | -35:42:11.85 |  19.55 | -11.99 |     0.86 |       6.378 |    0.506 |
