CGF_2-5    3 38 44.74  -35 25 06.5  S(B)?     18.59    0.8  0.3  19.49                                   21.02  1.47  b
CGF_1-3    3 38 44.75  -35 27 01.3  Sbc       17.48    1.2  0.8  19.20                                   19.77  1.41  b
CGF_2-21   3 38 45.14  -35 23 15.3  (d?)I     20.05 n  1.2  0.8  22.06                                   22.58  1.48  e
CGF_1-14   3 38 45.47  -35 29 53.9  S0        19.08    0.6                                               19.85  0.70  e
CGF_2-22   3 38 45.75  -35 23 19.3  Sc?       20.12    1.0  0.6  20.77                          
CGF_2-2    3 38 45.97  -35 22 52.3  E(pec)    17.82    0.5              0.26  14.85  0.00  14.47   2.81              
CGF_2-18   3 38 46.15  -35 22 35.2  E         19.91    0.7              0.42  19.92  0.09  17.25   5.13               
CGF_2-17   3 38 46.44  -35 20 55.9  Irr(LSB)  19.82    1.6  1.3  22.17                                   22.46  1.69  e
CGF_2-27   3 38 46.72  -35 22 10.5  (d?)Irr   20.43    1.2  0.8  21.34                                   21.18  0.81  d
CGF_1-21   3 38 48.20  -35 33 18.9  E/S0      19.61    0.6              0.36  16.30  0.00  13.70   0.63  21.00  0.83  
CGF_2-12   3 38 48.53  -35 24 31.7  S         19.29 n  2.0  1.7  21.38                                   20.98  1.51  d
CGF_1-13   3 38 49.07  -35 33 44.1  Sc        18.97    2.3  2.0  21.70                                   21.43  2.20  e
CGF_2-19   3 38 49.08  -35 24 10.1  E/S0(p?)  19.99 n  1.0  0.5  20.34                 
CGF_2-6    3 38 49.10  -35 25 30.3  S0/E      18.62    0.7                                 11.04   0.48  20.10  0.89  b
CGF_2-10   3 38 49.14  -35 22 46.0  S0/E      19.18    0.5                                 14.75   1.83  20.74  0.87  b
CGF_1-22   3 38 49.21  -35 29 19.6  S/Irr?    19.74    1.1  0.8  20.89                                   20.41  0.71  d
CGF_1-23   3 38 50.28  -35 27 40.3  S         19.89    2.0  1.7  21.55                           
CGF_1-17   3 38 50.31  -35 30 56.9  E         19.14    0.6              0.45  18.28  0.06  13.73   1.09               
CGF_2-15   3 38 51.19  -35 22 15.8  E         19.55 n  0.5              0.40  17.33  0.02  13.45   0.79               
CGF_1-2    3 38 51.51  -35 26 50.5  E         17.37 n  0.6              0.35  16.18  0.01  13.33   1.81               
CGF_1-31   3 38 51.60  -35 32 29.0  S?        20.45    0.8  0.3  20.64                          
CGF_2-8    3 38 51.76  -35 22 18.0  Sb(pec?)  18.97 n  1.5  1.1  21.13                                   21.67  2.35  b
CGF_1-30   3 38 51.97  -35 28 26.8  ?         20.43 n  0.9  0.5  20.95                          
CGF_1-28   3 38 52.26  -35 27 52.5  S         20.36 n  1.0  0.6  20.89                          
CGF_2-16   3 38 53.08  -35 24 48.7  Irr       19.80    1.2  0.9  21.36                                   20.93  0.86  e
CGF_1-4    3 38 54.05  -35 33 33.9  cE/GC?    17.87    0.7              0.27  10.33  0.00   9.63   0.38               
CGF_1-19   3 38 54.48  -35 27 55.9  E         19.55 n  0.6              0.45  18.19  0.05  14.05   1.18               
CGF_1-42   3 38 54.64  -35 29 31.8  S         20.85    1.7  1.4  22.31                                   21.60  0.99  d
CGF_1-7    3 38 54.70  -35 31 04.6  S0/Sb?    18.36    0.8  0.3  18.73                                   19.77  0.84  e
CGF_2-11   3 38 55.87  -35 25 51.7  S         19.21    1.0  0.6  20.55                                   21.38  1.28  b
CGF_1-6    3 38 57.22  -35 32 33.8  E         18.34 n  0.7              0.30  15.21  0.00  13.73   1.52               
CGF_1-24   3 38 57.57  -35 28 06.1  S/S0      20.18    0.7                                               20.80  0.73  e
CGF_1-10   3 38 59.58  -35 30 31.7  S0/E      18.69    0.6                                 15.25   2.37  21.76  1.60  b
CGF_2-13   3 38 59.91  -35 25 59.0  Sa?       19.43 n  0.6                                               21.87  1.58  b
CGF_2-7    3 39 00.98  -35 20 29.2  Irr       18.73 n  1.8  1.5  21.20                                   21.44  2.26  e
CGF_2-4    3 39 01.77  -35 22 56.6  S0?       18.51    0.9  0.5  19.72                                   20.46  1.07  e
CGF_2-20   3 39 02.88  -35 24 33.5  E         20.04 n  0.6              0.20  11.07  0.00  13.82   0.82               
CGF_2-23   3 39 03.40  -35 25 47.7  E?        20.13    0.6              0.16  12.27  0.00  16.15   2.09               
CGF_2-26   3 39 05.13  -35 23 13.6  E/S0?     20.42    0.9  0.5  21.05  0.20  10.45  0.00  12.90   0.56  21.39  0.75  
CGF_5-8    3 39 07.65  -35 29 59.7  S?        19.60    1.3  0.8  21.75                                   22.06  1.42  e
CGF_5-13   3 39 18.44  -35 24 00.5  Irr       20.03    1.5  1.1  21.65                                   21.28  0.92  d
CGF_5-7    3 39 18.61  -35 27 42.9  Sa        19.41 n  1.5  1.1  21.05                                   20.93  1.17  e
CGF_5-2    3 39 22.44  -35 25 30.9  S         18.06 n  1.6  1.2  19.98                                   20.07  1.51  b
CGF_5-5    3 39 22.63  -35 25 29.1  E         19.36 n  1.0  0.5  19.99  0.26  18.34  0.01  18.14                       
CGF_5-14   3 39 24.90  -35 26 52.8  E/S0?     20.30    1.0  0.4  20.89  0.24  16.31  0.00  16.68   3.11  22.34  1.25  
CGF_5-10   3 39 25.66  -35 23 50.2  E         19.74    0.8              0.41  17.64  0.02  13.20   0.69              
CGF_5-1    3 39 26.01  -35 24 14.5  S0        17.31    0.8                                               19.71  1.50  b
CGF_5-6    3 39 29.37  -35 23 50.3  E/S0      19.39 n  0.8              0.74  20.28  0.43  12.88   0.71  21.11  0.88  
CGF_5-11   3 39 29.60  -35 26 52.0  BCD?      19.76    1.1  0.6  20.57                  
CGF_5-9    3 39 33.67  -35 27 06.8  Sc        19.67    1.5  1.0  21.28                                   21.21  1.26  e
CGF_5-12   3 39 33.68  -35 25 52.9  S?        19.93    1.6  1.1  22.17                                   21.87  1.09  d
CGF_5-3    3 39 34.31  -35 27 22.0  Sb        18.48 n  0.9                                               20.82  1.34  b
CGF_5-16   3 39 34.99  -35 27 20.4  E?        20.45 n  0.7              0.34  19.99  0.03  18.84   9.36               
CGF_5-4    3 39 35.92  -35 28 24.9  cE/GC?    19.05    0.6              0.19   6.93  0.00  10.82   0.33               
CGF_7-14   3 39 50.54  -35 35 40.7  S?        20.24    1.1  0.7  21.18                         
CGF_7-9    3 39 51.83  -35 33  5.4  (d?)Irr   19.72    1.5  1.1  21.37                                   20.70  0.87  d
CGF_7-10   3 39 52.51  -35 34 46.9  E/S0      19.81    1.0  0.6  20.89  0.63  19.08  0.18  11.09   0.35  20.83  0.71  
CGF_7-8    3 39 54.43  -35 38 51.7  E?        19.72    0.8  0.3  19.64  0.32  13.43  0.00  10.41   0.29               
CGF_7-3    3 39 57.97  -35 35 37.0  E/S0      18.99    0.7              0.45  16.82  0.04  11.16   0.48  20.50  0.88  
CGF_7-2    3 40 00.81  -35 35 27.7  E         18.62 n  0.6              0.20  11.16  0.00  13.56   1.20               
CGF_7-5    3 40 03.81  -35 36 13.6  S         19.32 n  0.9  0.5  20.14                                   21.15  1.21  b
